DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011;AREA
5030348;1;1;1;70;1;16;30;4; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;41;79;52;1;2;10;5271;76;1985,12157748912; 
5030348;1;3;1;70;1;4;40;1; ;2;32;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;57;45;52;1;1;10;5234;76;1985,12157748912; 
5030349;1;3;1;70;1;4;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;920000; ; ;13; ; ;1;1;10; ;76;2173,87834710788; 
5030350;1;2;1;70;1;40;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;830000; ; ;45; ; ;1;2;10; ;76;1099,18375738453; 
5030350;1;3;1;70;1;2;48;3; ;2;2;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;55;55;74;1;1;10;7493;76;1099,18375738453; 
5030351;1;1;1;70;1;16;40;1; ;2;48;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1700000;2; ;19;53;55;1;2;10;5521;76;1689,35609519817; 
5030351;1;6;1;70;1;20;48;1; ;2;20;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;97;97;63;1;2;10;6332;76;1689,35609519817; 
5030351;1;7;1;70;1;96;48;1; ;2;96;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;95;95;45;1;2;10;4559;76;1689,35609519817; 
5030351;1;8;1;70;1;48;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;45; ; ;1;2;10; ;76;1689,35609519817; 
5030356;1;1;1;70;1;96;48;1; ;2;96;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;54;39;63;1;2;10;6320;76;2645,05070044665; 
5030359;1;8;1;70;1;20;30;1; ;2;20;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;39;39;80;1;2;10;8045;76;2764,99349545521; 
5030360;1;2;1;70;1;8;48;1; ;2;32;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;45;52;1;1;10;5233;76;2752,5872070823; 
5030363;1;1;1;70;1;48;48;1; ;2;48;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;03;45;52;1;2;10;5233;76;2347,43072815391; 
