DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4319426;1;1;1;70;05;4;50;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;150000;95;95;45;1;1;4521;05;05;1173,21810914784
4319438;1;2;1;70;05;52;48;1; ;2;52;1; ;6;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;03;02;70;1;2;7020;05;05;1148,07167031441
4319445;1;2;1;70;05;58;30;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;19; ; ;1;2; ;05;05;973,176903325101
4319451;1;3;1;70;05;4;48;1; ;2;20;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;52;1;1;5241;05;05;1318,00475212855
4319454;1;2;1;70;05;8;48;1; ;2;8;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;97;97;18;1;1;1810;05;05;1295,68796315737
4319459;1;3;1;70;05;18;48;1; ;2;17;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;85;1;2;8515;05;05;955,989143960585
4319460;1;3;1;70;05;16;48;1; ;2;64;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;12;45;52;1;2;5234;05;05;1063,78542313089
4319482;1;3;1;70;05;4;48;1; ;2;6;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;15;1;1;1594;05;05;1301,71227674249
4319485;1;2;1;70;05;4;48;1; ;2;200;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;39;41;52;1;1;5233;05;05;1109,96042780724
4319493;1;3;1;70;05;4;24;1; ;2;4;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;33;33;66;1;1;6602;05;05;1192,27959072555
4319498;1;3;1;70;05;2;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;05;05;689,755524234729
