Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P6290;P6290s1;P6230;P6240;P6240s1;P6250;P6260;P6270;P6280;P6300;P6310;P6310s1;P6320;P6330;P6340;P6350;P6351;Mes;Ft;Dpto;Fex_c_2011
2903873;1;1;1;50;54;6; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;03;1;54;453,930869552387
2903873;1;2;1;50;54;1; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;03;1;54;453,930869552387
2903873;1;3;1;50;54; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;54;453,930869552387
2903873;1;4;1;50;54; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;54;453,930869552387
2903874;1;1;1;50;54; ; ;1;6;DESCANSANDO EN EL HOGAR POR ENFERMEDAD;2;2;2;2;2; ; ; ; ; ; ; ;03;1;54;376,09766668538
2903874;1;2;1;50;54; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;54;376,09766668538
2903878;1;1;1;50;54; ; ;1;6;ESTUVO VIAJANDO POR MOTIVOS PERSONALES;2;2;2;2;2; ; ; ; ; ; ; ;03;1;54;389,413823183468
2903878;1;2;1;50;54;2; ;2;6;ESTUVO DESCANSANDO EN EL HOGAR;2;2;2;1; ; ; ; ; ; ; ;1;03;1;54;389,413823183468
2903878;1;3;1;50;54; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;54;389,413823183468
2903878;1;4;1;50;54; ; ;4;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;54;389,413823183468
2903881;1;1;1;50;54; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;54;378,9579465225
2903885;1;1;1;50;54;2; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;03;1;54;400,50335068085
2903898;1;1;1;50;17;2; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;03;1;17;194,832184227713
2903899;1;1;1;50;17; ; ;1;4; ;2;1; ; ; ; ; ; ; ; ; ; ;03;1;17;190,255916661751
2903899;1;2;1;50;17; ; ;2;3; ;2;2;1; ; ; ; ; ; ; ; ; ;03;1;17;190,255916661751
2903900;1;1;1;50;17; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;03;1;17;172,341425642973
2903900;1;2;1;50;17; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;172,341425642973
2903900;1;3;1;50;17; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;172,341425642973
2903902;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;172,050381890012
2903903;1;1;1;50;17; ; ;1;3; ;2;2;2;2;1;12; ; ; ; ; ; ;03;1;17;180,246273466319
2903904;1;1;1;50;17;2; ;1;3; ;2;2;2;1; ; ; ; ; ; ; ;1;03;1;17;180,246273466319
2903905;1;1;1;50;17; ; ;1;6;TEJIENDO EN CROCHE;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;213,01579357462
2903905;1;2;1;50;17; ; ;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;213,01579357462
2903906;1;1;1;50;17; ; ;1;6;DESCANSANDO;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;204,328164807443
2903906;1;2;1;50;17; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;204,328164807443
2903906;1;3;1;50;17; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;204,328164807443
2903907;1;1;1;50;17; ; ;1;6;CAMINANDO;2;2;2;2;1;11; ; ; ; ; ; ;03;1;17;213,01579357462
2903907;1;2;1;50;17; ; ;2;4; ;2;2;2;2;1;7; ;2; ;2; ; ;03;1;17;213,01579357462
2903909;1;1;1;50;17; ; ;1;2; ;1; ; ; ; ; ; ; ; ; ; ; ;03;1;17;185,161081078796
2903909;1;2;1;50;17; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;03;1;17;185,161081078796
2903909;1;3;1;50;17; ; ;3;6;VACACIONES;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;185,161081078796
2903909;1;4;1;50;17; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;185,161081078796
2903910;1;1;1;50;17; ; ;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;160,034172865452
2903910;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;160,034172865452
2903910;1;3;1;50;17; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;160,034172865452
2903911;1;1;1;50;17; ; ;1;6;CAMINAR;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;213,01579357462
2903911;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;213,01579357462
2903912;1;1;1;50;17; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;177,409430399805
2903913;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;230,438547402527
2903913;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;230,438547402527
2903915;1;1;1;50;17; ; ;1;3; ;2;2;2;2;1;12; ; ; ; ; ; ;03;1;17;180,246273466319
2903916;1;1;1;50;17; ; ;1;6;HACER DILIGENCIAS PERSONALES;1; ; ; ; ; ; ; ; ; ; ; ;03;1;17;185,679649095788
2903916;1;2;1;50;17; ; ;2;3; ;2;2;2;2;1;12; ; ; ; ; ; ;03;1;17;185,679649095788
2903916;1;3;1;50;17; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;185,679649095788
2903917;1;1;1;50;17; ; ;1;6;HACER DILIGENCIAS PERSONALES;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;213,01579357462
2903917;1;2;1;50;17; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;213,01579357462
2903918;1;1;1;50;17; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;213,01579357462
2903918;1;2;1;50;17; ; ;1;6;DESCANSAR;2;2;2;2;2; ; ; ; ; ; ; ;03;1;17;213,01579357462
2903919;1;1;1;50;17; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;03;1;17;172,050381890012
