DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;CLASE;FT;DPTO;AREA;fex_c_2011
803399;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;1;;8;;;;;;;1;1;5;5;850.369.506.193.844
803399;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;50;;15;;;;;;;1;1;5;5;850.369.506.193.844
803400;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;2;;5;;;;;;;1;1;5;5;694.689.130.349.688
803400;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;30;;30;;;;;;;1;1;5;5;694.689.130.349.688
803400;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;15;;;;;;;;;1;1;5;5;694.689.130.349.688
803401;1;1;1;90;;2;;1;2;1;2;2;1;2;2;2;;;1;;18;;;3;;;;1;1;5;5;780.388.076.586.176
803401;1;2;1;90;;2;;1;2;1;2;2;1;2;2;1;;;42;;28;;;15;;;3;1;1;5;5;780.388.076.586.176
803402;1;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;35;;20;;;;;;;1;1;5;5;920.350.935.801.512
803402;1;2;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;920.350.935.801.512
803403;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;1;1;5;5;706.224.567.456.494
803403;1;2;1;90;;2;;1;2;1;2;2;2;2;2;2;;;45;;2;;;;;;;1;1;5;5;706.224.567.456.494
803404;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;891.099.164.194.933
803404;1;2;1;90;;2;;1;2;2;1;2;2;2;2;2;;;40;;;9;;;;;;1;1;5;5;891.099.164.194.933
803404;1;3;1;90;;2;;1;2;1;2;2;1;2;2;2;;;4;;5;;;2;;;;1;1;5;5;891.099.164.194.933
803404;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;891.099.164.194.933
803405;1;1;1;90;;2;;1;2;2;1;2;2;2;2;2;;;4;;;9;;;;;;1;1;5;5;6.089.901.841.132
803405;1;2;1;90;;2;;1;2;1;1;2;2;2;2;2;;;48;;10;9;;;;;;1;1;5;5;6.089.901.841.132
803405;1;3;1;90;;2;;1;2;2;2;2;2;2;2;2;;;4;;;;;;;;;1;1;5;5;6.089.901.841.132
803405;1;4;1;90;;2;;1;2;2;2;2;2;2;2;2;;;4;;;;;;;;;1;1;5;5;6.089.901.841.132
803406;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;30;;;;;;;;;1;1;5;5;73.570.056.622.516
803406;1;2;1;90;;2;;2;2;2;2;2;2;2;2;1;;;;;;;;;;;2;1;1;5;5;73.570.056.622.516
803406;1;3;1;90;;2;;1;2;1;2;2;2;2;2;2;;;7;;2;;;;;;;1;1;5;5;73.570.056.622.516
803406;1;4;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;73.570.056.622.516
803406;1;5;1;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;1;1;5;5;73.570.056.622.516
803407;1;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;6;;;;;;;;;1;1;5;5;792.011.587.941.054
803408;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;792.011.587.941.054
803409;1;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;1;1;5;5;596.990.279.194.023
