Directorio;Secuencia_p;Orden;Hogar;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s6;P7510s2a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;P7510s7a1;P7510s7;P750s1;P750s1a1;P750s2;P750s2a1;P750s3;P750s3a1;P750s4;Area;Mes;Dpto;Fex_c_2011
3315984;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;1931,01624695271
3315984;1;3;1;95;1; ;2;2;100000; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;1931,01624695271
3315984;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;1931,01624695271
3315984;1;6;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;1800000; ;2;2;2; ;2; ; ;1;1800000; ; ; ;11;10;11;1931,01624695271
3315985;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;3007,19996239776
3315985;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;3007,19996239776
3315986;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;180000;2;1;2; ;2; ; ; ; ; ; ; ;11;10;11;2191,32960941165
3315986;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2191,32960941165
3315987;1;1;1;95;1; ;2;1; ;2464000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2295,33284762456
3315988;1;1;1;95;1; ;2;2;90000; ; ;1;1;2;1; ;98; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2336,54615616657
3315988;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2336,54615616657
3315992;1;1;1;95;1; ;2;1; ;1230000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2295,33284762456
3315993;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2764,6787594936
3315993;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;300000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2764,6787594936
3315993;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2764,6787594936
3315993;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2764,6787594936
3315994;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ;1500000; ; ;1;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2929,57969659036
3315994;1;2;1;95;1; ;1;2; ; ;250000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2929,57969659036
3315995;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;200000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3315995;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3315995;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3315995;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3315996;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;98; ; ; ;2;2;2;1000000;1; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3315996;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;1200000;2;1;2; ;2; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3315996;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3315996;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3315997;1;1;1;95;1; ;2;2;180000; ; ;1;1;2;2; ; ; ; ;5000000;2;1;2; ;2; ; ; ; ; ; ; ;11;10;11;2692,94059026246
3315998;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;400000;2;1;2; ;2; ; ; ; ; ; ; ;11;10;11;2768,79960116216
3315998;1;3;1;95;1; ;2;1; ;518760; ;2;1;2;2; ; ; ; ;98;2;1;2; ;2; ; ; ; ; ; ; ;11;10;11;2768,79960116216
3315999;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2692,75204938065
3315999;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;98; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2692,75204938065
3316000;1;1;1;95;1; ;1;2; ; ;500000;2;1;2;1; ;98; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;1919,573539948
3316000;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;50000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;1919,573539948
3316000;1;3;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;17000000;2;1;2; ;2; ; ; ; ; ; ; ;11;10;11;1919,573539948
3316001;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;10000000;1; ; ; ; ; ; ; ;11;10;11;2531,97195395246
3316001;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;98;1; ; ; ; ; ; ; ;11;10;11;2531,97195395246
3316006;1;1;1;95;1; ;2;1; ;1090000; ;2;1;2;2;4800000; ; ; ; ;2;2;1; ;2; ; ; ; ; ; ; ;11;10;11;2039,14032683418
3316006;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;98;1; ; ; ; ; ; ; ;11;10;11;2039,14032683418
3316007;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2349,61523739538
3316007;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2349,61523739538
3316007;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2349,61523739538
3316007;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2349,61523739538
3316007;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2349,61523739538
3316008;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;3200000;1; ; ; ; ; ; ; ;11;10;11;2692,75204938065
3316008;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;180000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2692,75204938065
3316009;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2694,84897275323
3316009;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;200000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2694,84897275323
3316009;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2694,84897275323
3316010;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;98; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2284,23927013346
3316010;1;2;1;95;1; ;2;2;200000; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2284,23927013346
3316010;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2284,23927013346
3316011;1;1;1;95;1; ;2;1; ;518700; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2243,23065417696
3316011;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2243,23065417696
3316011;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2243,23065417696
3316011;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2243,23065417696
3316012;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2825,57645837744
3316012;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ;500000; ; ;1;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2825,57645837744
3316012;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2825,57645837744
3316013;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;98; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3316013;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3316013;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3316013;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3316014;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;290000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;3024,80358107073
3316014;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;130000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;3024,80358107073
3316015;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;12000000;1; ; ; ; ; ; ; ;11;10;11;2692,75204938065
3316015;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2692,75204938065
3316016;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;98; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2692,75204938065
3316016;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;98; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2692,75204938065
3316017;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2232,54291795366
3316017;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2232,54291795366
3316017;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2232,54291795366
3316018;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3316018;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3316018;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3316018;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3316019;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;280000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2336,54615616657
3316019;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;800000;2;1;2; ;2; ; ; ; ; ; ; ;11;10;11;2336,54615616657
3316022;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2631,85435049681
3316022;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;4000000; ; ;10000000;2;1;2;14000000;1; ; ; ; ; ; ; ;11;10;11;2631,85435049681
3316022;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2631,85435049681
3316023;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2730,16403301526
3316023;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2730,16403301526
3316023;1;3;1;95;2; ; ; ; ; ; ; ;1;2;1; ;600000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2730,16403301526
3316023;1;4;1;95;2; ; ; ; ; ; ; ;1;2;1; ;98; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2730,16403301526
3316024;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;600000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3316024;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;750000;1; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3316024;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3316024;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2469,18202428156
3316025;1;1;1;95;1; ;2;1; ;630000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2158,91180630588
3316025;1;2;1;95;1; ;1;2; ; ;150000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2158,91180630588
3316025;1;3;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;400000;1; ; ; ; ; ; ; ;11;10;11;2158,91180630588
3316026;1;1;1;95;1; ;2;1; ;518500; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2262,9150445188
3316026;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;100000;2;1;2; ;2; ; ; ; ; ; ; ;11;10;11;2262,9150445188
3316027;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2;300000; ; ; ; ;2;2;1; ;2; ; ; ; ; ; ; ;11;10;11;2692,75204938065
3316027;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2692,75204938065
3316028;1;1;1;95;1; ;2;1; ;1391698; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2519,10756530917
3316029;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2519,10756530917
3316030;1;1;1;95;1; ;1;2; ; ;1300000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2920,3783498863
3316030;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2920,3783498863
3316030;1;6;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2920,3783498863
3316031;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;150000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2447,24726481357
3316031;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2447,24726481357
3316031;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2447,24726481357
3316031;1;4;1;95;2; ; ; ; ; ; ; ;1;2;1; ;98; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2447,24726481357
3316032;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;1440000;600000;2;1;2; ;2; ; ;1;1440000; ; ; ;11;10;11;2519,10756530917
3316033;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;98; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;3024,80358107073
3316033;1;2;1;95;1; ;2;1; ;515800; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;3024,80358107073
3316034;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2080,55832796171
3316034;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;600000;1; ; ; ; ; ; ; ;11;10;11;2080,55832796171
3316034;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2080,55832796171
3316034;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2080,55832796171
3316034;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2080,55832796171
3316035;1;1;1;95;1; ;2;1; ;694000; ;2;1;2;2; ; ; ; ; ;2;2;2;2300000;1; ; ; ; ; ; ; ;11;10;11;2210,60815848568
3316035;1;2;1;95;1; ;1;2; ; ;400000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2210,60815848568
3316035;1;3;1;95;2; ; ; ; ; ; ; ;1;2;1; ;98; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;11;10;11;2210,60815848568
3316036;1;1;1;95;1; ;1;2; ; ;9999;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2519,10756530917
3316037;1;1;1;95;1; ;1;2; ; ;250000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2519,10756530917
3316038;1;1;1;95;1; ;2;1; ;1100000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2362,79744106315
3316038;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;1200000;2;1;2; ;2; ; ; ; ; ; ; ;11;10;11;2362,79744106315
3316038;1;3;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;98;1; ; ; ; ; ; ; ;11;10;11;2362,79744106315
3316039;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2243,02596159144
3316039;1;2;1;95;2; ; ; ; ; ; ; ;1;2;1; ;98;600000; ;5400000;1;1;2; ;2; ; ; ; ; ; ; ;11;10;11;2243,02596159144
3316040;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2499,55415084669
3316040;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2499,55415084669
3316040;1;3;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ; ;2;2;2;939000;1; ; ; ; ; ; ; ;11;10;11;2499,55415084669
3316041;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;10;11;2929,57969659036
