DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011;AREA
5055443;1;3;1;70;1;72;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;480000; ; ;45; ; ;1;2;11; ;05;818,032219355872;05
5055444;1;5;1;70;1;52;48;1; ;2;8;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;87;87;45;1;2;11;4541;05;1325,18166993889;05
5055456;1;1;1;70;1;32;48;1; ;2;6;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;95;95;45;1;2;11;4521;05;1226,28526323362;05
5055457;1;1;1;70;1;52;24;4; ;2;84;1; ;3;2;2; ; ; ; ; ; ; ; ; ; ;1;1;150000;500000;2; ;45;32;50;1;2;11;5030;05;1136,81584963051;05
5055465;1;2;1;70;1;104;48;4; ;2;104;4; ;1;2;1; ; ; ; ; ; ; ; ;1;YA ES PENSIONADO; ;2; ;828116;3; ;87;87;45;1;2;11;4541;05;1147,88091536839;05
5055468;1;3;1;70;1;2;48;1; ;2;2;1; ;9;2;9;COBERTURA; ; ; ; ; ; ; ; ; ;1;1;2400000;2000000;2; ;45;45;51;1;1;11;5125;05;954,550662400012;05
5055474;1;5;1;70;1;16;24;1; ;2;16;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;12;12;74;1;2;11;7411;05;1408,72798811719;05
5055485;1;3;1;70;1;1;48;1; ;2;3;1; ;5;2;3; ; ;1; ; ; ; ; ; ; ; ;1;828116;828116;1;2;12;12;91;1;1;11;9192;05;1001,25606935117;05
5055488;1;6;1;70;1;28;48;1; ;2;24;2; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;13;13;80;1;2;11;8042;05;784,461098683045;05
5055488;1;8;1;70;1;12;48;1; ;2;24;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;38;38;74;1;1;11;7499;05;784,461098683045;05
5055492;1;3;1;70;1;2;48;4; ;2;2;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;828116;2; ;39;39;75;1;1;11;7512;05;744,705843293225;05
5055498;1;3;1;70;1;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;900000; ; ;45; ; ;1;1;11; ;05;806,737070270699;05
5055498;1;4;1;70;1;2;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;700000; ; ;45; ; ;1;1;11; ;05;806,737070270699;05
5055509;1;1;1;70;1;104;104;1; ;2;104;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;3; ;58;53;55;1;2;11;5530;05;1247,09898080791;05
5055520;1;1;1;70;1;24;48;1; ;2;28;5; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;39;79;17;1;2;11;1741;05;1105,61610510377;05
5055531;1;4;1;70;1;1;48;4; ;2;1;1; ;9;2;5; ; ; ; ; ; ; ; ; ; ;1;1;1100000;828116;2; ;39;39;75;1;1;11;7512;05;685,939915119853;05
5055534;1;2;1;70;1;16;48;1; ;2;16;1; ;5;2;2; ; ; ;1; ; ; ; ; ; ; ;2; ;828116;1;1;21;21;70;1;2;11;7020;05;676,485345141234;05
5055541;1;3;1;70;1;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;17; ; ;1;2;11; ;05;1289,19037408418;05
5055544;1;3;1;70;1;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;79; ; ;1;1;11; ;05;1567,31968985346;05
5055558;1;3;1;70;1;36;48;1; ;2;36;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;53;59;93;1;2;11;9309;05;764,178878465394;05
5055567;1;2;1;70;1;8;48;1; ;2;52;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;97;52;1;1;11;5239;05;1356,83107022087;05
5055568;1;2;1;70;1;1;24;1; ;2;36;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;45;55;52;1;1;11;5221;05;1021,61032054798;05
5055578;1;4;1;70;1;24;48;4; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;59;59;50;1;2;11;5020;05;885,600884513404;05
5055585;1;2;1;70;1;3;48;1; ;2;3;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;1;828116;828116;2; ;55;39;91;1;1;11;9111;05;758,87082331552;05
5055587;1;3;1;70;1;24;48;1; ;2;24;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;58;58;70;1;2;11;7020;05;1006,33404115375;05
5055588;1;4;1;70;1;9;60;1; ;2;17;1; ;3;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;97;95;45;1;1;11;4521;05;1336,47681902406;05
5055595;1;3;1;70;1;40;48;1; ;2;40;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;03;54;85;1;2;11;8532;05;1136,81584963051;05
5055597;1;4;1;70;1;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;33; ; ;1;2;11; ;05;718,814153916356;05
5055602;1;2;1;70;1;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;900000;1000000;2; ;33;33;52;1;1;11;5211;05;917,250284795389;05
5055621;1;2;1;70;1;2;72;5; ;2;2;1; ;9;2;1; ; ; ; ; ;1; ; ; ; ; ;1;1400000;1500000;2; ;51;53;55;1;1;11;5511;05;911,492573890273;05
5055627;1;2;1;70;1;8;48;1; ;2;8;1; ;9;2;1; ; ;1; ;1; ; ; ; ; ; ;2; ;1500000;1;2;84;84;51;1;1;11;5125;05;1844,82181221441;05
5055633;1;1;1;70;1;259;48;1; ;2;880;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;5000000;3; ;02;70;26;1;2;11;2694;05;1032,22573053062;05
5055633;1;3;1;70;1;60;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;1500000; ; ;02; ; ;1;2;11; ;05;1032,22573053062;05
5055637;1;2;1;70;1;4;48;1; ;2;104;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;95;95;45;1;1;11;4530;05;989,960920265998;05
5055643;1;1;1;70;1;36;48;1; ;2;25;4; ;1;2;1; ; ; ;1; ; ; ; ; ; ; ;2; ;828116;1;2;59;59;93;1;2;11;9309;05;1053,03944810491;05
5055650;1;3;1;70;1;3;48;1; ;2;4;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;1;20000;828116;2; ;53;53;55;1;1;11;5529;05;1215,28419600624;05
5055655;1;2;1;70;1;8;48;1; ;2;24;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;13;21;70;1;1;11;7020;05;854,171756956476;05
5055655;1;4;1;70;1;52;48;1; ;2;52;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;39;39;55;1;2;11;5511;05;854,171756956476;05
5055666;1;2;1;70;1;12;48;1; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;33;33;52;1;1;11;5225;05;953,821382665395;05
5055667;2;1;2;70;1;8;50;1; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;15000;800000;2; ;13;13;80;1;1;11;8060;05;969,826941794244;05
5055669;1;1;1;70;1;3;48;1; ;2;156;2; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;13;13;80;1;1;11;8041;05;1247,1629793184;05
5055672;1;1;1;70;1;1;24;1; ;2;1;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;800000;828116;2; ;45;13;80;1;1;11;8060;05;711,831604496723;05
5055672;2;1;2;70;1;4;24;1; ;2;209;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;02;02;28;1;1;11;2811;05;711,831604496723;05
5055675;1;2;1;70;1;104;48;1; ;2;130;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;21;44;66;1;2;11;6601;05;1027,14775872804;05
5055677;2;1;2;70;1;32;48;1; ;2;756;2; ;9;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;900000;2; ;07;07;75;1;2;11;7522;05;1195,37960056466;05
5055697;1;4;1;70;1;3;24;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;250000; ; ;16; ; ;1;1;11; ;05;2090,3633096618;05
5055700;1;1;1;70;1;200;48;1; ;2;200;1; ;7;2;2; ; ; ; ;1; ; ; ; ; ; ;2; ;828116;2; ;97;92;25;1;2;11;2529;05;801,595099957621;05
5055701;1;2;1;70;1;4;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;45;55;1;1;11;5529;05;1279,67180559506;05
