DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;DSI;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DPTO;fex_c_2011
502655;1;4;05;70;30;48;1; ;1;1;2;30;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5223;52;05;879,873223733001
502671;1;1;05;70;32;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;55; ; ; ;05;768,899650874651
502681;1;4;05;70;8;60;1; ;1;1;2;28;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3500000;1;98;03;1010;10;05;811,698606506239
502683;1;2;05;70;16;48;1; ;1;1;2;16;6; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4500000;1;79;79;1810;18;05;560,609014493622
502684;1;3;05;70;48;50;1; ;2;2;2;48;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;85;2915;29;05;669,898951554349
502686;1;2;05;70;5;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;79; ; ; ;05;1052,38442484432
502687;1;2;05;70;12;42;1; ;1;1;2;136;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5233;52;05;886,959507727495
502692;1;3;05;70;104;48;2; ;1;1;2;104;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;39;13;7512;75;05;540,629837307401
502702;1;3;05;70;40;48;1; ;1;2;2;40;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;37;55;5521;55;05;1119,65960403878
502703;1;6;05;70;160;50;1; ;1;1;2;150;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;11;11;7512;75;05;1131,84946471157
502713;1;2;05;70;24;48;1; ;2;2;2;6;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1500000;1;98;37;1810;18;05;549,556231364612
502719;1;2;05;70;110;48;1; ;1;1;2;110;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;16;59;8513;85;05;640,61551113361
502726;1;4;05;70;13;24;1; ;2;2;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;150000;1;03;97;5125;51;05;408,22697070529
502727;1;3;05;70;32;48;1; ;1;1;2;28;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;280000;1;84;97;4521;45;05;1484,67566632333
502727;1;4;05;70;32;48;1; ;1;2;2;52;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;120000;1;95;95;4530;45;05;1484,67566632333
502740;1;2;05;70;12;50;1; ;1;1;2;16;1; ;3;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2600000;1;53;53;5521;55;05;827,270911290891
502751;1;2;05;70;24;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;58; ; ; ;05;601,681585050873
502756;1;6;05;70;12;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;95; ; ; ;05;586,536157171421
502768;1;1;05;70;4;48;1; ;1;2;2;4;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;40000;1;600000;1;55;54;9500;95;05;876,57858335838
502768;1;6;05;70;48;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;95; ; ; ;05;876,57858335838
502773;1;2;05;70;4;24;1; ;2;2;2;4;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;1000000;1;1600000;1;33;33;5211;52;05;545,775596959606
502773;1;4;05;70;5;48;1; ;2;1;2;5;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;1;33;33;5211;52;05;545,775596959606
502777;1;3;05;70;1;48;1; ;1;1;2;1;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;433800;1;2850000;1;93;58;7492;74;05;938,709384029219
502812;1;1;05;70;12;48;2; ;1;1;2;20;5; ;9;2; ; ;1; ; ; ; ; ; ; ; ;2; ;1;48000000;1;02;11;1810;18;05;1131,19786088366
502814;1;2;05;70;208;48;1; ;1;2;2;200;3; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;55;54;9500;95;05;518,194999745712
502826;1;1;05;70;20;48;1; ;2;2;2;20;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;6070000;1;21;21;6512;65;05;766,687017596852
502851;1;2;05;70;8;48;1; ;2;2;2;9;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;380000;1;45;37;6340;63;05;1210,12805832547
502852;1;1;05;70;2;48;1; ;1;1;2;9;4; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3000000;1;45;45;5233;52;05;1638,66415863135
502862;1;3;05;70;3;48;1; ;1;1;2;4;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;1;650000;1;8000000;1;85;98;4530;45;05;897,853452446906
502866;1;2;05;70;18;48;1; ;2;2;2;18;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;9000000;1;39;70;1521;15;05;619,234094485787
502872;1;6;05;70;52;48;1; ;2;2;2;4;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;30000;2; ;1;98;93;5522;55;05;1018,33544929732
502878;1;1;05;70;24;50;2; ;2;2;2;4;2; ;9;9;EPS; ; ; ;1; ; ; ; ; ; ;2; ;1;98;1;20;20;7511;75;05;644,709675361916
502879;1;2;05;70;24;48;1; ;2;2;2;24;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1600000;1;45;45;5211;52;05;527,386555720746
502882;1;3;05;70;20;48;1; ;2;2;2;20;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3784500;1;45;45;5233;52;05;431,989322539652
502886;1;1;05;70;48;48;1; ;1;1;2;60;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;58;58;7492;74;05;893,817558646264
502892;1;2;05;70;8;48;1; ;1;1;2;8;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4320000;1;00;54;9500;95;05;518,194999745712
502897;1;1;05;70;12;40;1; ;1;1;2;40;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;53;45;5233;52;05;609,715788396587
502901;1;1;05;70;8;48;1; ;1;1;2;8;4; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2300000;1;84;99;5020;50;05;605,064029162737
502902;1;3;05;70;8;48;4; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;59; ; ; ;05;734,021133064249
502907;1;2;05;70;4;48;1; ;1;1;2;720;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;32;32;5030;50;05;759,227840476553
502908;1;3;05;70;3;4;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;53; ; ; ;05;783,592999803368
502909;1;1;05;70;48;48;1; ;1;1;2;144;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;100000;1;84;80;1926;19;05;718,2929845756
502910;1;1;05;70;4;48;1; ;2;2;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;433700;1;4000000;1;90;45;5262;52;05;531,637584418319
502921;1;2;05;70;16;48;1; ;1;1;2;16;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;5602200;1;45;79;1810;18;05;545,870968330105
502923;1;4;05;70;40;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;05;469,80096672446
502923;1;5;05;70;8;48;4; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;93; ; ; ;05;469,80096672446
502936;1;3;05;70;12;48;1; ;1;1;2;12;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;5000000;1;84;84;5170;51;05;487,984775588577
502936;1;4;05;70;8;48;1; ;1;1;2;8;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;418000;1;79;79;1810;18;05;487,984775588577
502941;1;4;05;70;20;48;1; ;1;1;2;22;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4000000;1;45;45;5233;52;05;518,194999745712
502942;1;2;05;70;52;48;1; ;1;1;2;52;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;80000;1;92;92;1730;17;05;659,099923742969
502949;1;3;05;70;16;48;1; ;2;2;2;16;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3000000;1;39;33;5235;52;05;456,621003726541
502955;1;3;05;70;4;48;1; ;1;1;2;96;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;39;7494;74;05;393,176914196337
502955;1;4;05;70;1;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;05;393,176914196337
502956;1;1;05;70;6;48;1; ;1;1;2;24;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;1;58;58;7492;74;05;808,047611430896
502956;1;2;05;70;52;48;1; ;1;1;2;52;1; ;4;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5211;52;05;808,047611430896
502960;1;2;05;70;104;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;53; ; ; ;05;652,805371806399
502966;1;2;05;70;52;20;3; ;1;1;2;52;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;54;9500;95;05;545,281596541251
502967;1;5;05;70;2;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;97; ; ; ;05;582,039819812193
502967;1;7;05;70;52;48;1; ;1;1;2;104;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;95;95;4521;45;05;582,039819812193
502978;1;2;05;70;24;48;1; ;1;1;2;192;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;55;45;5233;52;05;585,578107628053
502979;1;4;05;70;48;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;55; ; ; ;05;946,247485468157
502984;1;2;05;70;4;48;1; ;2;2;2;4;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;250000;1;53;95;7010;70;05;569,849959139405
502986;1;2;05;70;48;48;3; ;1;1;2;48;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;80000;1;54;54;9500;95;05;811,706804979699
502986;1;10;05;70;40;40;1; ;1;1;2;40;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;150000;1;95;95;3611;36;05;811,706804979699
502992;1;1;05;70;52;24;1; ;2;2;2;260;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;55;54;9500;95;05;776,288272867831
502999;1;5;05;70;4;48;1; ;2;2;2;12;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1800000;1;32;39;8512;85;05;854,336628114381
503000;1;2;05;70;4;48;1; ;2;1;2;4;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;433700;1;433700;1;32;55;8512;85;05;545,870968330105
503012;1;7;05;70;3;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;98; ; ; ;05;1010,81220251243
503022;1;2;05;70;5;48;1; ;2;2;2;5;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2200000;1;58;58;7492;74;05;759,148916157914
503025;1;2;05;70;20;48;1; ;1;1;2;32;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1500000;1;54;54;9500;95;05;825,660582990402
503036;1;1;05;70;250;48;1; ;2;2;2;312;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1800000;1;39;39;7414;74;05;692,270470527303
503036;1;3;05;70;16;48;1; ;1;1;2;16;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4000000;1;85;85;5170;51;05;692,270470527303
503041;1;2;08;70;21;48;4; ;1;1;2;21;4; ;9;9;OTRA TIENE EPS; ; ; ; ; ; ; ; ;1; ;2; ;1;4800000;1;39;39;7512;75;08;384,762346540164
503042;1;2;08;70;21;70;4; ;1;1;2;21;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2500000;1;98;98;6021;60;08;556,765153233351
503042;1;3;08;70;8;48;1; ;1;1;2;8;1; ;3;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4900000;1;96;97;6310;63;08;556,765153233351
503046;1;2;08;70;156;48;1; ;1;1;2;312;1; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;32;21;2695;26;08;488,69104476642
503046;1;5;08;70;208;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;08;488,69104476642
503050;1;6;08;70;4;40;1; ;1;1;2;34;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2500000;1;32;30;6421;64;08;427,2058011775
503051;1;4;08;70;156;48;1; ;1;1;2;156;4; ;9;9;ERA COTIZANTE; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;02;39;8050;80;08;359,366949096282
503055;1;6;08;70;8;48;1; ;1;1;2;8;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1800000;1;58;58;7524;75;08;505,320847672748
503056;1;5;08;70;24;50;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;55; ; ; ;08;550,089269576248
503060;1;2;08;70;52;48;2; ;2;2;2;104;2; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;12;08;7512;75;08;374,077869621058
503070;1;2;08;70;52;48;1; ;2;2;2;52;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;02;02;2899;28;08;461,380627973047
503076;1;3;08;70;8;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;08;546,977791730005
503081;1;2;08;70;14;48;1; ;1;1;2;24;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1800000;1;98;98;6021;60;08;507,802573488114
503084;1;3;08;70;12;48;1; ;2;2;2;12;1; ;6;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2; ;1;37;37;6412;64;08;424,218802295915
503086;1;6;08;70;40;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;32; ; ; ;08;911,559888998267
503087;1;5;08;70;12;56;1; ;2;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;08;542,023716412426
503094;1;2;08;70;8;56;3; ;1;1;2;8;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;54;9500;95;08;521,582394286123
503102;1;3;08;70;48;48;1; ;1;1;2;60;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;1;100000;1;1000000;1;37;98;6031;60;08;533,696940629153
503103;1;3;08;70;2;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;33; ; ; ;08;769,524693080329
503111;1;1;08;70;3;48;4; ;1;1;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;1;54;54;7493;74;08;450,729688661438
503128;1;5;08;70;4;48;3; ;1;1;2;4;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2200000;1;54;54;9500;95;08;394,71626578939
503137;1;7;08;70;12;70;3; ;2;2;2;12;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;480000;1;54;54;9500;95;08;390,144052458024
503141;1;4;08;70;32;48;1; ;2;2;2;32;1; ;9;5; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2602200;1;97;97;2731;27;08;337,591737788085
503153;1;2;08;70;48;48;1; ;1;1;2;350;1; ;6;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;13;13;7512;75;08;480,755442475436
503153;1;6;08;70;208;48;1; ;1;1;2;208;1; ;8;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;32;32;2212;22;08;480,755442475436
503156;1;1;08;70;12;48;1; ;1;1;2;364;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;97;97;1594;15;08;572,431187350321
503156;1;4;08;70;6;45;1; ;1;1;2;8;1; ;6;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;32;97;2423;24;08;572,431187350321
503168;1;2;08;70;52;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;58; ; ; ;08;448,327501812859
503179;1;3;08;70;4;50;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;81; ; ; ;08;652,569598192377
503182;1;3;08;70;4;48;1; ;1;1;2;4;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;11;11;7412;74;08;338,788196284837
503182;1;5;08;70;40;48;1; ;1;2;2;4;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;33;7412;74;08;338,788196284837
503185;1;1;08;70;52;48;1; ;1;1;2;52;4; ;1;9;por una pension que recibe de una empresa europea; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;02;84;5020;50;08;481,218851332562
503187;1;1;08;70;52;48;2; ;1;1;2;104;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;39;39;7512;75;08;499,385493467575
503200;1;4;08;70;12;48;1; ;1;1;2;52;4; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;58;97;5244;52;08;396,419787395131
503201;2;2;08;70;10;48;3; ;1;1;2;10;4; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;700000;1;54;39;8511;85;08;548,53090978835
503202;1;3;08;70;8;60;1; ;1;1;2;8;4; ;1;7; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1800000;1;37;95;4521;45;08;450,477777548062
503207;1;3;08;70;12;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;08;363,196987795264
503215;1;4;08;70;8;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;08;612,273323270324
503222;2;2;08;70;16;48;3; ;1;1;2;40;3; ;1;4; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;1;54;54;9500;95;08;498,958114187692
503223;1;1;08;70;12;48;2; ;1;1;2;16;1; ;9;2; ; ; ; ; ; ; ;1; ; ; ;2; ;1;3000000;1;43;45;2211;22;08;563,185905125982
503227;1;2;08;70;52;48;1; ;2;2;2;18;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;1;02;45;5235;52;08;370,247830922076
503230;1;2;08;70;52;48;3; ;1;1;2;260;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;54;9500;95;08;455,046894859507
503233;1;9;08;70;4;72;1; ;2;2;2;68;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;58;45;5237;52;08;508,002454269362
503250;1;1;08;70;2;48;1; ;1;1;2;2;1; ;8;4; ; ; ; ; ; ; ;1; ; ; ;1;300000;1;3000000;1;87;87;2529;25;08;588,074384323193
503251;1;1;08;70;8;60;4; ;1;1;2;12;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4000000;1;98;98;6031;60;08;351,827487630916
503256;1;4;11;70;1;48;1; ;2;2;2;1;1; ;5;9;AUNQUE NO  TRABAJA TODAVIA LA CUBRE  LA  EPS; ; ; ; ; ; ; ; ;1; ;1;485000;1;5000000;1;45;44;6601;66;11;1906,59929657732
503257;1;2;11;70;2;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;80; ; ; ;11;2648,06607937025
503263;1;3;11;70;36;48;1; ;2;2;2;96;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5233;52;11;9160,06959409442
503268;1;4;11;70;58;60;1; ;1;1;2;6;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;1;59;59;8511;85;11;1462,69149474053
503268;1;6;11;70;1;48;1; ;1;1;2;2;9;PASANTE POR PARTE DEL SENA;9;1; ; ; ; ; ; ; ; ; ;1; ;1;362000;1;4344000;1;33;03;5211;52;11;1462,69149474053
503269;1;2;11;70;4;48;1; ;1;1;2;4;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;250000;1;53;53;5521;55;11;2326,5544434163
503274;1;3;11;70;48;48;1; ;1;1;2;16;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2100000;1;58;53;5521;55;11;2109,36158331451
503275;1;1;11;70;8;48;1; ;2;2;2;8;1; ;9;1; ; ;1; ; ; ; ; ; ; ; ;1;350000;1;4500000;1;92;92;2211;22;11;7616,3514461091
503276;1;3;11;70;1;48;1; ;1;1;2;1;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;1;600000;1;700000;1;92;92;1720;17;11;3382,47245335335
503280;1;1;11;70;8;40;4; ;1;1;2;30;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;4500000;1;43;39;7512;75;11;7821,97392916276
503283;1;1;11;70;52;40;1; ;1;1;2;260;2; ;9;1; ; ; ; ; ; ; ; ;1; ;YA ES PENSIONADA;2; ;2; ;1;55;55;7512;75;11;2157,77987846145
503293;1;2;11;70;2;48;1; ;1;1;2;2;4; ;1;2; ; ; ; ; ; ; ; ;1; ;ESTA HACIENDO TRAMITES PARA LA  PENSIO;1;900000;1;3000000;1;81;95;4521;45;11;2065,30106232194
503300;1;1;11;70;96;60;1; ;2;2;2;240;1; ;8;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5011;50;11;2916,86613575865
503301;1;2;11;70;24;60;1; ;2;2;2;24;1; ;9;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;9500000;1;45;45;5211;52;11;2494,72329437713
503320;1;2;11;70;8;72;3; ;1;1;2;16;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1584000;1;54;54;9500;95;11;2249,17967524902
503331;1;6;11;70;24;48;2; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;58; ; ; ;11;3468,23158028653
503340;1;4;11;70;4;24;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;53; ; ; ;11;2129,98048709289
503349;1;1;11;70;3;48;1; ;1;1;2;1;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;433000;1;3897000;1;90;90;2529;25;11;1794,59926920418
503349;1;2;11;70;8;48;1; ;2;2;2;8;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;1;53;53;5521;55;11;1794,59926920418
503354;1;1;11;70;4;48;1; ;1;1;2;260;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;97;53;5522;55;11;2204,47755665876
503371;1;1;11;70;24;48;1; ;1;1;2;12;1; ;6;3; ; ; ; ; ; ; ; ; ;1; ;2; ;1;430000;1;87;92;2220;22;11;2640,15668931276
503376;1;1;11;70;3;48;4; ;1;1;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;98;1;98;1;98;98;6041;60;11;1751,21661550928
503376;1;2;11;70;32;40;4; ;1;1;2;32;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;1;51;51;5521;55;11;1751,21661550928
503380;1;1;11;70;60;48;1; ;1;1;2;96;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;43;3000;30;11;3020,39106261645
503383;1;2;11;70;20;48;4; ;1;1;2;480;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;21;39;1422;14;11;2979,80704156098
503400;1;2;11;70;40;40;1; ;2;2;2;40;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;39;38;6340;63;11;2418,82545641314
503417;1;2;11;70;50;48;1; ;2;2;2;50;1; ;6;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;39;39;8044;80;11;2407,88144099363
