directorio;secuencia_p;orden;p6020;p6040;mes;area;clase;DPTO;fex_c_2011
3755;1;1;2;46;04;68;1;68;226,576616167792
3755;1;2;1;13;04;68;1;68;226,576616167792
3755;1;3;2;6;04;68;1;68;226,576616167792
3755;1;4;2;71;04;68;1;68;226,576616167792
3755;1;5;2;66;04;68;1;68;226,576616167792
3980;1;1;2;31;04;44;1;44;101,01683770936
3980;1;2;2;1;04;44;1;44;101,01683770936
3980;1;3;2;54;04;44;1;44;101,01683770936
3980;1;4;2;15;04;44;1;44;101,01683770936
4255;1;1;1;52;04;63;1;63;80,5584137296403
4255;1;2;2;48;04;63;1;63;80,5584137296403
4255;1;3;1;25;04;63;1;63;80,5584137296403
4255;1;4;1;15;04;63;1;63;80,5584137296403
5453;1;1;1;57;04;63;1;63;110,173535843402
5453;1;2;2;55;04;63;1;63;110,173535843402
5453;1;3;1;25;04;63;1;63;110,173535843402
5453;1;4;2;6;04;63;1;63;110,173535843402
5686;1;1;2;65;04;27;1;27;127,446550500915
5686;1;2;1;29;04;27;1;27;127,446550500915
5686;1;3;1;9;04;27;1;27;127,446550500915
5686;1;4;1;3;04;27;1;27;127,446550500915
6500;1;1;1;33;04;63;1;63;55,900799817724
6500;1;2;2;27;04;63;1;63;55,900799817724
6500;1;3;2;6;04;63;1;63;55,900799817724
7781;1;1;1;66;04;50;1;50;123,073627907147
7781;1;2;2;65;04;50;1;50;123,073627907147
8054;1;1;2;33;04;54;1;54;474,225328384221
8054;1;2;1;8;04;54;1;54;474,225328384221
8054;1;3;2;3;04;54;1;54;474,225328384221
8272;1;1;1;70;04;20;1;20;155,939210275493
8272;1;2;1;64;04;20;1;20;155,939210275493
8272;1;3;1;36;04;20;1;20;155,939210275493
8272;1;4;1;34;04;20;1;20;155,939210275493
9571;1;1;2;44;04;47;1;47;219,212233138275
9571;1;2;2;8;04;47;1;47;219,212233138275
9571;1;3;2;6;04;47;1;47;219,212233138275
10515;1;1;2;40;04;11;1;11;4186,52979527259
10515;1;2;2;14;04;11;1;11;4186,52979527259
10515;1;3;1;17;04;11;1;11;4186,52979527259
10654;1;1;1;79;04;52;1;52;174,305606343211
10654;1;2;2;60;04;52;1;52;174,305606343211
10654;1;3;1;42;04;52;1;52;174,305606343211
12255;1;1;1;48;04;15;1;15;34,3871518771265
12255;1;2;2;36;04;15;1;15;34,3871518771265
12255;1;3;2;14;04;15;1;15;34,3871518771265
12255;1;4;2;10;04;15;1;15;34,3871518771265
12308;1;1;1;43;04;63;1;63;105,489402825879
12308;1;2;2;49;04;63;1;63;105,489402825879
12308;1;3;1;17;04;63;1;63;105,489402825879
12308;1;4;2;14;04;63;1;63;105,489402825879
12356;1;1;2;81;04;63;1;63;85,3166611935594
12356;1;2;2;58;04;63;1;63;85,3166611935594
12356;1;3;1;16;04;63;1;63;85,3166611935594
12363;1;1;2;93;04;63;1;63;111,089032798658
12363;1;2;2;59;04;63;1;63;111,089032798658
12378;1;1;1;50;04;11;1;11;1611,13988220659
12378;1;2;2;50;04;11;1;11;1611,13988220659
12378;1;3;2;21;04;11;1;11;1611,13988220659
12392;1;1;1;44;04;11;1;11;1968,02117100179
12392;1;2;2;0;04;11;1;11;1968,02117100179
12392;1;3;2;12;04;11;1;11;1968,02117100179
12392;1;4;1;7;04;11;1;11;1968,02117100179
12416;1;1;2;96;04;17;1;17;78,560713490753
12416;1;2;1;58;04;17;1;17;78,560713490753
12416;1;3;2;18;04;17;1;17;78,560713490753
12419;1;1;1;64;04;11;1;11;3204,95734996319
12419;1;2;2;62;04;11;1;11;3204,95734996319
12427;1;1;1;56;04;17;1;17;105,177351161343
12427;1;2;2;54;04;17;1;17;105,177351161343
12427;1;3;1;32;04;17;1;17;105,177351161343
12427;1;4;1;26;04;17;1;17;105,177351161343
12427;1;5;2;4;04;17;1;17;105,177351161343
12460;1;1;1;28;04;17;1;17;581,155125492222
12460;1;2;2;29;04;17;1;17;581,155125492222
12460;1;3;2;3;04;17;1;17;581,155125492222
12461;1;1;1;63;04;63;1;63;141,440060552495
12461;1;2;1;56;04;63;1;63;141,440060552495
12461;1;3;1;31;04;63;1;63;141,440060552495
12461;1;4;1;27;04;63;1;63;141,440060552495
12463;1;1;2;87;04;17;1;17;51,036035890127
12463;1;2;2;69;04;17;1;17;51,036035890127
12463;1;3;2;57;04;17;1;17;51,036035890127
12466;1;1;1;30;04;23;1;23;325,477025266189
12466;1;2;2;28;04;23;1;23;325,477025266189
12466;1;3;2;5;04;23;1;23;325,477025266189
12466;1;4;2;53;04;23;1;23;325,477025266189
12473;1;1;2;64;04;63;1;63;142,272030664083
12473;1;2;1;26;04;63;1;63;142,272030664083
12474;1;1;2;77;04;23;1;23;205,450317202505
12477;1;1;1;54;04;17;1;17;229,66093329732
12477;1;2;2;49;04;17;1;17;229,66093329732
12481;1;1;2;54;04;63;1;63;122,682148502974
12481;1;2;2;30;04;63;1;63;122,682148502974
12481;1;3;1;3;04;63;1;63;122,682148502974
12481;1;4;2;15;04;63;1;63;122,682148502974
12486;1;1;1;54;04;17;1;17;380,963984496624
12486;1;2;2;50;04;17;1;17;380,963984496624
12486;1;3;1;20;04;17;1;17;380,963984496624
12489;1;1;1;29;04;17;1;17;229,66093329732
12489;1;2;2;26;04;17;1;17;229,66093329732
12494;1;1;1;37;04;17;1;17;616,87317005455
12494;1;2;2;34;04;17;1;17;616,87317005455
12494;1;3;2;19;04;17;1;17;616,87317005455
12494;1;4;2;15;04;17;1;17;616,87317005455
12496;1;1;2;32;04;17;1;17;314,485290004062
12496;1;2;1;15;04;17;1;17;314,485290004062
12496;1;3;2;9;04;17;1;17;314,485290004062
12502;1;1;1;70;04;63;1;63;91,1910614879163
12502;1;2;2;66;04;63;1;63;91,1910614879163
12502;1;3;1;43;04;63;1;63;91,1910614879163
12503;1;1;2;81;04;63;1;63;187,702158866698
12503;1;2;2;68;04;63;1;63;187,702158866698
12508;1;1;1;56;04;63;1;63;250,442476031966
12508;1;2;2;20;04;63;1;63;250,442476031966
12508;1;3;1;15;04;63;1;63;250,442476031966
12509;1;1;1;41;04;63;1;63;110,39994322243
12509;1;2;2;41;04;63;1;63;110,39994322243
12516;1;1;1;42;04;17;1;17;210,429086345627
12516;1;2;2;48;04;17;1;17;210,429086345627
12516;1;3;1;23;04;17;1;17;210,429086345627
12516;1;4;1;23;04;17;1;17;210,429086345627
12516;1;5;1;17;04;17;1;17;210,429086345627
12517;1;1;1;60;04;63;1;63;126,264546675576
12517;1;2;2;56;04;63;1;63;126,264546675576
12517;1;3;1;25;04;63;1;63;126,264546675576
12522;1;1;1;41;04;63;1;63;152,861459846441
12522;1;2;2;36;04;63;1;63;152,861459846441
12523;1;1;2;84;04;17;1;17;220,935149479453
12523;1;2;1;26;04;17;1;17;220,935149479453
