DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;CLASE;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DSI;DPTO;AREA;fex_c_2011
549810;1;1;70;100;48;1; ;1;1;2;100;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;79;79;1810;18;1;05;05;745,97542247423
549819;1;2;70;8;48;1; ;2;2;2;8;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;100000;1;45;45;5262;52;1;05;05;1215,92260583087
549823;1;2;70;52;48;1; ;1;1;2;100;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;39;39;6022;60;1;05;05;1086,67819788838
549844;1;2;70;48;48;1; ;1;1;2;260;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;44;6512;65;1;05;05;1025,35373828169
549859;1;4;70;2;48;1; ;1;1;2;2;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;1;433700;1;1301100;1;97;77;1581;15;1;05;05;859,09537028339
549863;1;5;70;4;48;1; ;1;1;2;4;1; ;8;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1500000;1;32;00;8050;80;1;05;05;1132,57080878364
549877;1;3;70;52;48;1; ;2;2;2;40;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1901000;1;13;53;5521;55;1;05;05;459,629982697197
549889;1;3;70;4;48;1; ;1;1;2;5;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;270000;1;45;44;6340;63;1;05;05;1645,91368509147
549901;1;6;70;24;48;4; ;1;1;2;96;4; ;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2; ;1;95;95;4521;45;1;05;05;852,074552882903
549902;1;2;70;60;48;4; ;1;1;2;65;1; ;4;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;98;37;7421;74;1;05;05;814,465850764416
549904;1;6;70;24;48;1; ;1;1;2;96;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;39;2424;24;1;05;05;1000,3911029232
549908;1;2;70;1;48;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;34; ; ; ;1;05;05;735,364928075448
549918;1;4;70;45;48;1; ;1;1;2;96;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;39;39;5030;50;1;05;05;1043,86095422007
549934;1;1;70;50;48;4; ;1;1;2;60;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;1;54;53;5530;55;1;05;05;784,580389802751
549934;1;3;70;100;48;4; ;1;1;2;4;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;1;93;93;5020;50;1;05;05;784,580389802751
549935;1;3;70;200;48;4; ;1;1;2;150;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5262;52;1;05;05;983,641099482671
549937;1;1;70;200;48;3; ;1;1;2;200;1; ;4;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;97;3699;36;1;05;05;1033,07603007792
549940;1;2;70;150;48;1; ;1;1;2;150;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;77;77;5223;52;1;05;05;852,484160499472
549940;1;3;70;150;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;53; ; ; ;1;05;05;852,484160499472
549942;1;3;70;18;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;95; ; ; ;1;05;05;722,990417842136
549945;1;2;70;8;48;1; ;1;1;2;150;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;58;45;5211;52;1;05;05;1128,83334858301
549950;1;3;70;8;48;1; ;1;1;2;50;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;53;53;5530;55;1;05;05;550,150028906471
549952;1;2;70;4;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;39; ; ; ;1;05;05;899,719486477588
549955;1;5;70;3;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;1;05;05;642,683912590381
549956;1;2;70;24;48;1; ;1;1;2;2;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;500000;1;79;79;1810;18;1;05;05;1074,74784163957
549964;1;3;70;12;50;1; ;1;1;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;1;55;94;3699;36;1;05;05;926,867187656125
549969;1;1;70;4;48;1; ;2;2;2;4;1; ;6;9;ES COTIZANTE; ; ; ; ; ; ; ; ;1; ;2; ;1;10000000;1;45;45;2512;25;1;05;05;1354,60001829962
549969;1;2;70;60;48;1; ;1;1;2;60;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;19;32;7512;75;1;05;05;1354,60001829962
549994;1;1;70;24;30;1; ;1;1;2;24;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;45000;1;77;39;5521;55;1;05;05;848,880189695027
549997;1;1;70;12;48;1; ;2;2;2;52;2; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;1;800000;1;03;03;7530;75;1;05;05;1308,93659097603
550000;2;2;70;3;48;1; ;1;1;2;52;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;54;9500;95;1;05;05;745,672716078336
550045;1;2;70;52;48;1; ;1;1;2;52;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;58;58;7492;74;1;05;05;1157,6719733429
550045;1;6;70;52;48;2; ;1;1;2;52;2; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;32;32;7411;74;1;05;05;1157,6719733429
