DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
6045144;1;2;1;70;2;40;48;1000000;4;;2;60;4;;2;2;1;;2;;;;;;;;;;;1;2;;41;95;95;1;2;12;4111;15;448.64776484
6046713;1;1;1;70;2;8;48;908526;1;;2;10;8;;3;2;8;;2;;;;;;;;;;;1;2;;01;55;62;1;1;12;0123;17;846.41524402
6046719;1;1;1;70;2;12;48;900000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;12;;17;1984.3252454
6046723;1;1;1;70;2;4;20;300000;8;;2;4;8;;2;2;8;;2;;;;;;;;;;;1;1;90000;01;62;62;1;1;12;0123;17;1017.7667568
6046859;1;1;1;70;2;2;40;200000;4;;2;5;4;;1;2;4;;2;;;;;;;;;;;1;2;;01;62;62;1;1;12;0161;27;717.7273132
6046867;1;1;1;70;2;2;48;600000;4;;2;8;4;;1;2;1;;2;;;;;;;;;;;1;2;;41;95;95;1;1;12;4112;27;717.7273132
6046883;1;4;1;70;2;12;48;2500000;2;;2;18;4;;8;2;1;;2;;;;;;;;;;;1;2;;84;33;33;1;1;12;8412;27;717.7273132
6046893;1;1;1;70;2;14;48;1500000;2;;2;16;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;13;54;1;2;12;9700;27;717.7273132
6046899;1;1;1;70;2;7;40;400000;3;;2;78;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;1;12;9700;27;2200.3733589
6046906;1;2;1;70;2;40;40;2000000;2;;2;53;2;;7;2;1;;2;;;;;;;;;;;1;2;;84;05;05;1;2;12;8412;27;717.7273132
6046906;1;3;1;70;2;48;40;2000000;1;;2;53;1;;7;2;1;;2;;;;;;;;;;;1;2;;84;21;03;1;2;12;8412;27;717.7273132
6046912;1;1;1;70;2;45;40;600000;1;;2;102;1;;2;2;1;;2;;;;;;;;;;;1;2;;85;53;53;1;2;12;8513;27;717.7273132
6046915;1;1;1;70;2;2;48;350000;3;;2;5;4;;1;2;1;;2;;;;;;;;;;;1;2;;81;54;54;1;1;12;8121;27;859.42357803
6046951;1;1;1;70;2;12;48;550000;1;;2;16;4;;2;2;1;;2;;;;;;;;;;;1;2;;56;55;53;1;1;12;5611;44;1982.5201722
6046961;1;4;1;70;2;8;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;71;;1;1;12;;44;2281.2408848
6047005;1;1;1;70;2;2;48;908000;4;;2;2;3;;1;2;1;;2;;;;;;;;;;;1;1;908000;97;53;54;1;1;12;9700;50;573.22385507
6047008;1;3;1;70;2;28;48;1200000;8;;2;28;8;;8;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;2;12;0126;50;744.40221086
6047018;1;2;1;70;2;8;48;900000;8;;1;;;;;;;;;;.;.;;;;;;;;;;.;;62;;1;1;12;;50;912.32492934
6047093;1;1;1;70;2;2;48;900000;4;;2;2;4;;1;2;3;;2;;;;;;;;;;;1;1;900000;01;62;62;1;1;12;0161;50;1071.649972
6047097;1;2;1;70;2;5;48;900000;4;;2;5;4;;1;2;1;;2;;;;;;;;;;;1;1;800000;81;54;54;1;1;12;8121;50;671.985557
6047103;1;1;1;70;2;8;48;1000000;1;;2;8;1;;2;2;1;;2;;;;;;1;;;;;;2;;43;71;71;1;1;12;4390;50;713.10518995
6047108;1;1;1;70;2;3;45;900000;4;;2;3;4;;1;2;1;;2;;;;;;;;;;;1;1;700000;81;54;54;1;1;12;8121;50;818.6417162
6047119;1;3;1;70;2;4;40;1500000;1;;2;4;1;;2;2;1;;2;;;;;;;;;;;1;2;;41;85;95;1;1;12;4111;52;1091.9204049
6047135;1;1;1;70;2;22;24;500000;1;;2;104;4;;1;2;1;;2;;;;;;;;;;;1;1;50000;47;45;45;1;2;12;4781;52;1091.9204049
6047147;1;2;1;70;2;12;40;400000;1;;2;24;4;;1;2;8;;2;;;;;;;;;;;1;2;;01;45;62;1;1;12;0123;52;2521.0602962
6047201;1;2;1;70;2;24;40;908000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;12;;52;2108.2172249
6047251;1;1;1;70;2;2;48;300000;3;;2;2;3;;1;2;1;;2;;;;;;;;;;;1;1;800000;97;54;54;1;1;12;9700;52;3402.9972532
6047274;1;2;1;70;2;12;24;400000;4;;2;12;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;12;0111;52;1319.4867469
6047275;1;2;1;70;2;5;40;200000;8;;2;8;4;;1;2;1;;2;;;;;;;;;;;1;1;30000;01;62;62;1;1;12;0111;52;3402.9972532
6047278;1;2;1;70;2;52;30;300000;3;;2;12;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;12;9700;52;3418.3202668
6047300;1;1;1;70;2;104;25;350000;3;;2;52;1;;4;2;1;;2;;;;;;;;;;;1;2;;56;54;53;1;2;12;5611;52;5277.9469876
6050685;1;2;1;70;2;52;50;800000;1;;2;67;1;;9;2;1;;2;;;;;;;;;;;1;2;;94;19;19;1;2;12;9499;05;1316.956921
6050686;1;1;1;70;2;60;48;600000;1;;2;78;1;;8;2;1;;1;2;;;1;;;;;;;;2;;49;59;59;1;2;12;4921;05;2053.8636415
6050687;1;2;1;70;2;1;48;500000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;53;;1;1;12;;05;5267.8276841
6050734;1;1;1;70;2;3;48;1000000;1;;2;3;1;;2;2;1;;2;;;;;;;;;;;1;1;40000;56;55;53;1;1;12;5611;17;577.94483989
6050749;1;2;1;70;2;2;55;1200000;8;;2;3;8;;2;2;1;;2;;;;;;1;;;;;;1;1200000;01;62;62;1;1;12;0123;17;577.94483989
