DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;DPTO;fex_c_2011
5135928;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;950,296115192866
5135928;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;950,296115192866
5135929;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;1239,74135618893
5135930;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;1239,74135618893
5135931;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;2091,7070103841
5135931;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;02;44;2091,7070103841
5135932;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;1116,58027259126
5135932;1;2;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;1116,58027259126
5135932;1;3;1;50; ;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;1116,58027259126
5135933;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;1566,15368802099
5135933;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;1566,15368802099
5135934;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;2034,63654357025
5135934;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;44;2034,63654357025
5135935;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;830,567015147404
5135935;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;830,567015147404
5135936;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;1563,97604352658
5135937;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;44;1116,58027259126
5135937;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;02;44;1116,58027259126
5135937;1;3;1;50; ;2; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;44;1116,58027259126
5135938;1;1;1;50; ;2; ; ;1;6;DESCANSANDO EN EL HOGAR;2;2;2;2;1;11; ; ; ; ; ; ;02;68;1397,83717929412
5135938;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;1;11; ; ; ; ; ; ;02;68;1397,83717929412
5135939;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;68;1631,02770149281
5135940;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;68;1265,21080183703
5135940;1;2;1;50; ;2; ; ;2;4; ;2;2;1; ; ; ; ; ; ; ; ; ;02;68;1265,21080183703
5135941;1;1;1;50; ;2; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;68;1125,54039037634
5135941;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;68;1125,54039037634
5135941;1;3;1;50; ;2; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;68;1125,54039037634
5135941;1;4;1;50; ;2; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;68;1125,54039037634
5135941;1;6;1;50; ;2; ; ;6;6;DESCANSANDO EN EL HOGAR;2;2;2;2;2; ; ; ; ; ; ; ;02;68;1125,54039037634
5135942;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;68;1000,82793066653
5135942;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;68;1000,82793066653
5135942;1;3;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;68;1000,82793066653
5135942;1;4;1;50; ;2; ; ;4;4; ;2;2;2;2;1;8; ;2; ;2; ; ;02;68;1000,82793066653
5135943;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;68;2259,55051113219
5135943;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;68;2259,55051113219
5135943;1;3;1;50; ;2; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;68;2259,55051113219
5135943;1;6;1;50; ;2; ; ;6;6;DESCANSANDO EN EL HOGAR;2;2;2;2;2; ; ; ; ; ; ; ;02;68;2259,55051113219
5135943;1;7;1;50; ;2; ; ;7;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;68;2259,55051113219
5135943;1;8;1;50; ;2; ; ;8;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;68;2259,55051113219
5135944;1;1;1;50; ;2; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;68;1359,48294605327
5135944;1;2;1;50; ;2; ; ;2;4; ;2;2;1; ; ; ; ; ; ; ; ; ;02;68;1359,48294605327
5135945;1;1;1;50; ;2;2; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;02;68;2850,06084288171
5135945;1;2;1;50; ;2; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;68;2850,06084288171
5135946;1;1;1;50; ;2; ; ;1;6;DESCANSANDO EN EL HOGAR;2;2;2;2;1;11; ; ; ; ; ; ;02;68;1565,0781976311
5135946;1;2;1;50; ;2; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;68;1565,0781976311
