directorio;secuencia_p;orden;p6020;p6040;mes;area;dpto;clase;fex_c_2011
43;8;1;1;47;03;11;11;1;1627,35531896302
43;9;1;1;27;03;11;11;1;1627,35531896302
43;9;2;1;19;03;11;11;1;1627,35531896302
43;10;1;2;57;03;11;11;1;1627,35531896302
47;1;1;1;39;03;68;68;1;384,803411696141
47;1;2;2;8;03;68;68;1;384,803411696141
48;1;1;1;19;03;23;23;1;141,544536872019
48;1;2;2;50;03;23;23;1;141,544536872019
48;1;3;2;49;03;23;23;1;141,544536872019
64;1;1;1;0;03;05;05;1;1153,51034628668
72;1;1;1;55;03;54;54;1;657,78999366551
75;1;1;2;35;03;44;44;1;66,6350306082924
75;1;2;1;3;03;44;44;1;66,6350306082924
84;1;1;2;53;03;54;54;1;270,652184098254
84;1;2;1;58;03;54;54;1;270,652184098254
84;1;3;1;56;03;54;54;1;270,652184098254
84;1;4;2;42;03;54;54;1;270,652184098254
95;1;1;2;75;03;54;54;1;418,419949324479
95;1;2;1;63;03;54;54;1;418,419949324479
96;1;1;2;12;03;05;05;1;877,345479800338
96;1;2;1;28;03;05;05;1;877,345479800338
101;1;1;2;23;03;54;54;1;465,297252017463
101;1;2;1;28;03;54;54;1;465,297252017463
102;1;1;1;55;03;23;23;1;112,164319931191
102;1;2;2;51;03;23;23;1;112,164319931191
102;1;3;1;22;03;23;23;1;112,164319931191
103;1;1;2;26;03;68;68;1;550,854992360948
103;1;2;2;7;03;68;68;1;550,854992360948
105;1;1;2;40;03;54;54;1;583,993326205064
105;1;2;1;10;03;54;54;1;583,993326205064
106;1;1;1;48;03;23;23;1;128,417633540534
106;1;2;2;50;03;23;23;1;128,417633540534
107;1;1;1;46;03;54;54;1;503,259324060996
110;1;1;1;84;03;44;44;1;33,251828969634
110;1;2;2;82;03;44;44;1;33,251828969634
110;1;3;2;25;03;44;44;1;33,251828969634
112;1;1;1;54;03;68;68;1;574,781729460535
112;1;2;2;23;03;68;68;1;574,781729460535
112;1;3;1;28;03;68;68;1;574,781729460535
112;1;4;2;3;03;68;68;1;574,781729460535
112;1;5;2;8;03;68;68;1;574,781729460535
112;1;6;1;29;03;68;68;1;574,781729460535
114;1;1;2;34;03;44;44;1;74,0389228981029
114;1;2;1;7;03;44;44;1;74,0389228981029
115;1;1;1;58;03;54;54;1;487,538808075176
115;1;2;2;50;03;54;54;1;487,538808075176
115;1;3;1;28;03;54;54;1;487,538808075176
115;1;4;2;24;03;54;54;1;487,538808075176
115;1;5;1;7;03;54;54;1;487,538808075176
124;1;2;2;26;03;68;68;1;550,854992360948
124;1;3;2;6;03;68;68;1;550,854992360948
127;1;1;1;31;03;08;08;1;760,179638563845
127;1;2;2;38;03;08;08;1;760,179638563845
127;1;3;1;17;03;08;08;1;760,179638563845
127;1;4;2;13;03;08;08;1;760,179638563845
127;1;5;1;5;03;08;08;1;760,179638563845
129;1;2;2;46;03;68;68;1;617,45084924644
130;2;1;1;40;03;17;17;1;160,985450529792
130;2;2;1;11;03;17;17;1;160,985450529792
130;2;3;1;9;03;17;17;1;160,985450529792
131;1;1;2;40;03;68;68;1;606,579166271626
131;1;2;2;12;03;68;68;1;606,579166271626
131;1;3;1;22;03;68;68;1;606,579166271626
131;1;4;2;20;03;68;68;1;606,579166271626
133;1;1;1;64;03;27;27;1;81,8956203075883
133;1;2;1;33;03;27;27;1;81,8956203075883
133;1;3;1;25;03;27;27;1;81,8956203075883
139;1;1;2;40;03;44;44;1;48,2381884786047
139;1;2;1;25;03;44;44;1;48,2381884786047
139;1;3;1;8;03;44;44;1;48,2381884786047
145;1;1;1;39;03;44;44;1;99,2328448702723
145;1;2;2;27;03;44;44;1;99,2328448702723
145;1;3;1;3;03;44;44;1;99,2328448702723
150;1;1;1;55;03;17;17;1;72,6438012241939
150;1;2;2;51;03;17;17;1;72,6438012241939
150;1;3;2;26;03;17;17;1;72,6438012241939
152;1;1;1;38;03;68;68;1;611,220579377063
152;1;2;2;44;03;68;68;1;611,220579377063
152;1;3;2;25;03;68;68;1;611,220579377063
152;1;4;2;2;03;68;68;1;611,220579377063
152;1;5;1;21;03;68;68;1;611,220579377063
153;1;1;2;68;03;44;44;1;59,6269048719484
153;1;2;1;43;03;44;44;1;59,6269048719484
154;1;1;1;35;03;68;68;1;431,724951345309
154;1;2;2;27;03;68;68;1;431,724951345309
154;1;3;1;9;03;68;68;1;431,724951345309
154;1;4;2;6;03;68;68;1;431,724951345309
155;1;1;2;26;03;23;23;1;313,519642613742
155;1;2;1;26;03;23;23;1;313,519642613742
155;1;3;1;17;03;23;23;1;313,519642613742
159;1;1;2;54;03;63;63;1;60,051799234143
159;1;2;1;45;03;63;63;1;60,051799234143
159;1;3;1;30;03;63;63;1;60,051799234143
161;1;1;1;75;03;68;68;1;901,262359372771
161;1;2;1;48;03;68;68;1;901,262359372771
161;1;3;2;80;03;68;68;1;901,262359372771
162;1;1;1;59;03;44;44;1;79,998059387965
164;1;1;2;57;03;50;50;1;113,286379945533
164;1;2;1;71;03;50;50;1;113,286379945533
164;1;3;2;42;03;50;50;1;113,286379945533
165;1;1;2;30;03;68;68;1;861,542641353832
165;1;2;2;7;03;68;68;1;861,542641353832
165;1;3;2;18;03;68;68;1;861,542641353832
166;1;1;2;58;03;44;44;1;66,1323639000045
168;1;1;2;70;03;23;23;1;155,090707341567
168;1;2;1;40;03;23;23;1;155,090707341567
168;1;3;2;45;03;23;23;1;155,090707341567
168;1;4;1;22;03;23;23;1;155,090707341567
168;1;5;1;16;03;23;23;1;155,090707341567
169;1;1;1;49;03;68;68;1;779,200443365366
169;1;2;2;59;03;68;68;1;779,200443365366
169;1;3;2;82;03;68;68;1;779,200443365366
170;1;1;2;71;03;23;23;1;271,497568730277
170;1;2;2;51;03;23;23;1;271,497568730277
170;1;3;1;28;03;23;23;1;271,497568730277
170;1;4;1;24;03;23;23;1;271,497568730277
171;1;1;1;30;03;73;73;1;168,26127483158
172;1;1;2;25;03;68;68;1;506,499494556187
172;1;2;1;28;03;68;68;1;506,499494556187
173;1;1;2;66;03;73;73;1;223,262920651172
174;1;1;1;42;03;05;05;1;938,394398914889
177;1;1;2;28;03;13;13;1;314,839004623142
177;1;2;1;41;03;13;13;1;314,839004623142
183;1;1;2;67;03;13;13;1;282,800547307121
184;1;1;2;65;03;73;73;1;382,736435402009
185;1;1;1;76;03;63;63;1;51,9721188616001
185;1;2;2;47;03;63;63;1;51,9721188616001
187;1;1;1;36;03;13;13;1;328,332425814115
189;1;1;1;66;03;44;44;1;71,9982534491686
191;1;1;1;37;03;73;73;1;461,516639538047
192;1;1;2;46;03;66;66;1;400,491975371964
192;1;2;2;47;03;66;66;1;400,491975371964
194;1;1;1;73;03;68;68;1;307,745123611008
194;1;2;1;21;03;68;68;1;307,745123611008
195;1;1;2;52;03;23;23;1;253,290015460468
195;1;2;1;53;03;23;23;1;253,290015460468
195;1;3;2;40;03;23;23;1;253,290015460468
195;1;4;2;14;03;23;23;1;253,290015460468
197;2;1;1;54;03;66;66;1;372,132379986271
