DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6290;P6290S1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;DPTO;fex_c_2011
990931;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;115.424.841.485.577
990931;1;2;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;5;115.424.841.485.577
990932;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;609.528.738.800.996
990932;1;2;1;50;2;1;4;;2;2;2;2;;;2;;;;;;;;5;609.528.738.800.996
990932;1;3;1;50;2;3;4;;2;2;2;2;;;2;;;;;;;;5;609.528.738.800.996
990932;2;1;2;50;2;1;1;;;;;;;;;;;;;;;;5;609.528.738.800.996
990932;2;2;2;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;609.528.738.800.996
990935;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;650.920.659.353.809
990935;1;2;1;50;2;2;4;;2;2;1;;;;;;;;;;;;5;650.920.659.353.809
990935;1;3;1;50;2;2;1;;;;;;;;;;;;;;;;5;650.920.659.353.809
990949;1;1;1;50;2;1;1;;;;;;;;;;;;;;;;5;904.509.945.525.365
990949;1;2;1;50;2;2;4;;2;2;2;2;;;2;;;;;;;;5;904.509.945.525.365
990949;1;5;1;50;2;1;1;;;;;;;;;;;;;;;;5;904.509.945.525.365
990949;1;6;1;50;2;1;3;;2;2;2;2;;;2;;;;;;;;5;904.509.945.525.365
990954;1;1;1;50;2;1;6;DESCANSAR;2;2;2;2;;;2;;;;;;;;5;113.638.127.524.259
990954;1;2;1;50;2;1;1;;;;;;;;;;;;;;;;5;113.638.127.524.259
990954;1;3;1;50;2;3;1;;;;;;;;;;;;;;;;5;113.638.127.524.259
990957;1;1;1;50;2;1;4;;2;2;2;2;;;2;;;;;;;;5;141.031.926.263.479
990958;1;1;1;50;2;1;4;;1;;;;;;;;;;;;;;5;141.665.164.108.341
