DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
612031;1;1;13;80;1;4;4;;3;;2;;;;;10;2;1;13;565.073.778.550.686
612032;1;2;13;80;1;4;7;;2;;2;;;;;9;2;1;13;590.090.048.162.024
612033;1;3;13;80;2;;;;2;;2;;2;;.;;;1;13;252.333.947.866.526
612035;1;2;13;80;2;;;;2;;2;;2;;.;;;1;13;254.396.265.107.107
612035;1;3;13;80;2;;;;2;;2;;2;;.;;;1;13;254.396.265.107.107
612035;1;4;13;80;2;;;;2;;2;;2;;.;;;1;13;254.396.265.107.107
612036;1;2;13;80;1;2;4;;3;;2;;;;;10;2;1;13;300.529.727.792.046
612036;1;4;13;80;2;;;;2;;2;;2;;.;;;1;13;300.529.727.792.046
612040;1;3;13;80;2;;;;2;;2;;2;;.;;;1;13;206.200.485.181.587
612041;1;1;13;80;1;4;2;;2;;2;;;;;1;2;1;13;228.234.030.219.847
612041;1;2;13;80;2;;;;2;;2;;2;;.;;;1;13;228.234.030.219.847
612042;1;2;13;80;2;;;;2;;2;;2;;.;;;1;13;360.495.948.712.304
612043;1;2;13;80;2;;;;2;;2;;2;;.;;;1;13;261.746.096.194.511
612043;1;3;13;80;2;;;;2;;2;;2;;.;;;1;13;261.746.096.194.511
612046;1;4;13;80;2;;;;2;;2;;2;;.;;;1;13;256.458.582.347.687
612046;1;5;13;80;2;;;;2;;2;;2;;.;;;1;13;256.458.582.347.687
612047;1;2;13;80;1;4;2;;2;;2;;;;;9;2;1;13;303.374.190.752.362
612047;1;3;13;80;2;;;;2;;2;;2;;.;;;1;13;303.374.190.752.362
612048;1;1;13;80;1;4;2;;2;;2;;;;;9;2;1;13;284.326.174.310.524
612048;1;6;13;80;2;;;;2;;2;;2;;.;;;1;13;284.326.174.310.524
612049;1;1;13;80;1;4;4;;3;;2;;;;;8;2;1;13;25.929.007.139.523
612049;1;4;13;80;1;3;2;;2;;2;;;;;9;2;1;13;25.929.007.139.523
612050;1;1;13;80;1;4;4;;3;;2;;;;;8;2;1;13;280.240.634.776.855
612050;1;2;13;80;2;;;;2;;2;;2;;.;;;1;13;280.240.634.776.855
612051;1;2;13;80;2;;;;2;;2;;2;;.;;;1;13;218.248.416.321.007
612051;1;3;13;80;2;;;;2;;2;;2;;.;;;1;13;218.248.416.321.007
612052;1;2;13;80;1;4;2;;2;;2;;;;;9;2;1;13;254.396.265.107.107
612052;1;3;13;80;2;;;;2;;2;;2;;.;;;1;13;254.396.265.107.107
612052;1;4;13;80;2;;;;2;;2;;2;;.;;;1;13;254.396.265.107.107
612116;1;2;17;80;1;1;7;;2;;2;;;;;2;2;1;17;129.437.673.182.883
612117;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;21.660.671.811.192
612117;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;21.660.671.811.192
612118;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;15.599.229.086.996
612120;1;1;17;80;1;2;4;;3;;2;;;;;11;2;1;17;152.900.312.109.187
612120;1;4;17;80;1;4;4;;3;;2;;;;;11;2;1;17;152.900.312.109.187
612121;1;1;17;80;1;4;4;;3;;2;;;;;10;2;1;17;131.758.997.403.951
612121;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;131.758.997.403.951
612121;1;3;17;80;1;2;4;;3;;2;;;;;11;2;1;17;131.758.997.403.951
612121;1;4;17;80;1;4;0;;2;;2;;;1;;1;1;1;17;131.758.997.403.951
612122;1;1;17;80;1;3;4;;3;;2;;;;;11;2;1;17;179.394.117.181.663
612122;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;179.394.117.181.663
612122;1;3;17;80;1;1;1;;2;;2;;;;;2;2;1;17;179.394.117.181.663
612123;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;214.426.578.670.647
612125;1;1;17;80;1;4;4;;3;;2;;;;;10;2;1;17;145.000.412.777.313
612125;1;2;17;80;1;4;3;;2;;2;;;;;4;2;1;17;145.000.412.777.313
612127;1;2;17;80;1;1;7;;2;;2;;;1;;6;1;1;17;196.491.266.857.939
612128;1;3;17;80;2;;;;2;;2;;1;1;;2;;1;17;170.487.978.744.091
612128;1;4;17;80;2;;;;2;;2;;2;;.;;;1;17;170.487.978.744.091
612129;1;3;17;80;1;1;5;;2;;1;20000;;;;2;2;1;17;214.426.578.670.647
612132;1;4;17;80;2;;;;2;;2;;2;;.;;;1;17;150.589.962.213.872
612132;1;5;17;80;2;;;;2;;2;;2;;.;;;1;17;150.589.962.213.872
612133;1;1;17;80;1;4;4;;3;;2;;;;;10;2;1;17;125.236.032.753.398
612134;1;2;17;80;1;4;2;;2;;2;;;;;9;2;1;17;157.101.952.538.672
612134;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;157.101.952.538.672
612136;1;1;17;80;1;4;4;;3;;2;;;;;10;2;1;17;145.000.412.777.313
612136;1;2;17;80;1;4;3;;3;;2;;;;;4;2;1;17;145.000.412.777.313
612137;1;1;17;80;1;4;4;;3;;2;;;;;10;2;1;17;157.912.531.186.727
612138;1;1;17;80;2;;;;3;;2;;2;;.;;;1;17;145.134.049.283.618
612139;1;1;17;80;1;4;4;;3;;2;;;;;10;2;1;17;145.134.049.283.618
612141;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;113.510.997.789.919
612141;1;4;17;80;1;4;8;EDAD;2;;2;;;;;8;2;1;17;113.510.997.789.919
612142;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;228.202.714.454.614
612143;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;188.869.614.864.428
612144;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;227.205.060.573.756
612145;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;173.114.020.822.685
612145;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;173.114.020.822.685
612145;1;4;17;80;2;;;;2;;2;;2;;.;;;1;17;173.114.020.822.685
612145;1;5;17;80;2;;;;2;;2;;2;;.;;;1;17;173.114.020.822.685
612147;1;1;17;80;1;3;4;;3;;2;;;;;11;2;1;17;145.134.049.283.618
612148;1;1;17;80;1;4;2;;2;;2;;;;;9;2;1;17;168.770.772.773.069
612148;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;168.770.772.773.069
612151;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;108.370.777.042.944
612152;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;136.094.274.339.741
612152;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;136.094.274.339.741
612153;1;2;17;80;1;4;7;;2;;2;;;;;9;2;1;17;144.671.115.813.366
612153;1;4;17;80;1;4;3;;2;;2;;;;;4;2;1;17;144.671.115.813.366
612154;1;1;17;80;2;;;;2;;2;;2;;.;;;1;17;145.134.049.283.618
612155;1;1;17;80;2;;;;2;;2;;2;;.;;;1;17;159.629.737.157.749
612156;1;1;17;80;1;4;2;;3;;2;;;;;9;2;1;17;119.365.605.523.561
612156;1;4;17;80;1;4;3;;2;;2;;;;;4;2;1;17;119.365.605.523.561
612156;1;5;17;80;2;;;;2;;2;;2;;.;;;1;17;119.365.605.523.561
612157;1;1;17;80;1;4;4;;3;;2;;;;;10;2;1;17;145.000.412.777.313
612157;1;2;17;80;1;4;3;;2;;2;;;;;4;2;1;17;145.000.412.777.313
612158;1;1;17;80;1;4;4;;3;;2;;;;;10;2;1;17;167.583.689.327.134
612160;1;2;17;80;1;1;8;RECORTE DE TRABAJO;2;;1;60000;;;;6;2;1;17;259.039.767.576.706
612160;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;259.039.767.576.706
612160;1;4;17;80;1;1;6;;2;;2;;;;;11;2;1;17;259.039.767.576.706
612160;1;6;17;80;2;;;;2;;2;;2;;.;;;1;17;259.039.767.576.706
612162;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;188.869.614.864.428
612164;1;2;17;80;1;1;7;;2;;2;;;;;9;2;1;17;150.445.351.381.814
612165;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;151.327.716.970.223
612165;1;5;17;80;2;;;;2;;2;;2;;.;;;1;17;151.327.716.970.223
612166;1;1;17;80;1;4;7;;2;;2;;;4;;11;1;1;17;179.394.117.181.663
612166;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;179.394.117.181.663
612167;1;1;17;80;1;4;4;;3;;2;;;;;10;2;1;17;145.134.049.283.618
612168;1;2;17;80;1;4;7;;2;;2;;;;;7;2;1;17;20.190.456.983.978
612170;1;2;17;80;1;1;7;;2;;2;;;;;9;2;1;17;231.804.781.695.615
612170;2;5;17;80;1;1;7;;2;;2;;;1;ESTA AVERIGUANDO CON AMIGOS;12;1;1;17;231.804.781.695.615
612171;1;2;17;80;1;4;5;;2;;2;;;;;9;2;1;17;854.399.996.929.603
612172;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;175.349.952.152.703
612172;1;4;17;80;1;4;3;;2;;2;;;;POR DISCAPACIDAD;12;2;1;17;175.349.952.152.703
612173;1;3;17;80;1;1;1;;2;;2;;;;;2;2;1;17;188.869.614.864.428
612175;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;169.880.434.441.781
612176;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;136.094.274.339.741
612177;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;201.648.096.767.537
612178;1;1;17;80;1;4;8;MOTIVOS DE VIAJE;2;;2;;;;;9;2;1;17;113.510.997.789.919
612179;1;4;17;80;1;2;7;;2;;2;;;2;;2;1;1;17;187.160.380.007.232
612181;1;2;17;80;1;4;2;;2;;2;;;;;9;2;1;17;232.615.360.343.671
612181;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;232.615.360.343.671
612181;1;7;17;80;2;;;;2;;2;;2;;.;;;1;17;232.615.360.343.671
612183;1;7;17;80;2;;;;2;;2;;2;;.;;;1;17;213.385.700.730.362
612183;1;8;17;80;1;4;3;;2;;2;;;;;4;2;1;17;213.385.700.730.362
612184;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;136.094.274.339.741
612186;1;2;17;80;1;4;2;;2;;2;;;1;;9;1;1;17;188.262.070.562.118
612187;1;2;17;80;1;2;7;;2;;2;;;2;;9;1;1;17;127.862.074.831.993
612187;1;4;17;80;2;;;;3;;2;;2;;.;;;1;17;127.862.074.831.993
612188;1;2;17;80;1;4;6;;2;;2;;;;;9;2;1;17;137.477.018.243.318
612193;1;1;17;80;2;;;;2;;2;;2;;.;;;1;17;145.134.049.283.618
612194;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;267.297.173.442.924
612194;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;267.297.173.442.924
612194;1;4;17;80;2;;;;2;;2;;2;;.;;;1;17;267.297.173.442.924
612195;1;2;17;80;1;4;2;;2;;2;;;;;9;2;1;17;16.443.549.583.728
612196;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;154.475.910.460.077
612197;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;15.599.229.086.996
612198;1;1;17;80;2;;;;3;;2;;2;;.;;;1;17;126.752.413.163.281
612198;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;126.752.413.163.281
612199;1;1;17;80;1;1;7;;2;;2;;;;;2;2;1;17;112.572.417.472.429
612199;1;2;17;80;1;1;7;;2;;2;;;;;2;2;1;17;112.572.417.472.429
612199;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;112.572.417.472.429
612200;1;2;17;80;1;4;0;;2;;2;;;;;11;2;1;17;174.240.290.483.991
612202;1;1;17;80;1;4;4;;3;;2;;;;;10;2;1;17;125.102.396.247.093
612202;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;125.102.396.247.093
612203;1;2;17;80;1;3;7;;2;;2;;;;;9;2;1;17;144.671.115.813.366
612204;1;1;17;80;1;2;7;;2;;2;;;;;8;2;1;17;183.249.851.484.578
612204;1;4;17;80;1;4;2;;2;;2;;;;;9;2;1;17;183.249.851.484.578
612205;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;225.889.361.347.372
612205;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;225.889.361.347.372
612205;1;4;17;80;2;;;;2;;2;;2;;.;;;1;17;225.889.361.347.372
612205;1;5;17;80;2;;;;2;;2;;2;;.;;;1;17;225.889.361.347.372
612207;1;3;17;80;2;;;;2;;2;;2;;.;;;1;17;166.152.701.808.301
612207;1;5;17;80;1;1;7;;2;;2;;;;;1;2;1;17;166.152.701.808.301
612208;1;2;17;80;2;;;;2;;2;;2;;.;;;1;17;176.999.969.068.891
612355;1;1;23;80;1;1;2;;2;;2;;;;;9;2;1;23;148.352.680.050.818
612358;1;3;23;80;2;;;;2;;2;;2;;.;;;1;23;66.414.522.516.397
612358;1;4;23;80;2;;;;2;;2;;2;;.;;;1;23;66.414.522.516.397
612358;1;5;23;80;1;4;3;;2;;2;;;;;4;2;1;23;66.414.522.516.397
612360;1;2;23;80;2;;;;2;;2;;2;;.;;;1;23;10.586.142.448.699
612361;1;2;23;80;2;;;;2;;2;;2;;.;;;1;23;987.923.016.443.058
612361;2;2;23;80;1;2;2;;2;;2;;;;;9;2;1;23;987.923.016.443.058
612361;2;3;23;80;2;;;;2;;2;;2;;.;;;1;23;987.923.016.443.058
612362;1;1;23;80;1;4;2;;2;;2;;;;;9;2;1;23;136.410.691.949.198
612362;1;2;23;80;2;;;;2;;2;;1;2;;1;;1;23;136.410.691.949.198
612362;1;4;23;80;2;;;;2;;2;;2;;.;;;1;23;136.410.691.949.198
612363;1;2;23;80;1;4;2;;2;;2;;;;;9;2;1;23;149.470.527.006.937
612367;1;3;23;80;1;3;1;;2;;2;;;;;2;2;1;23;118.318.802.769.883
612373;1;1;23;80;1;4;3;;2;;2;;;;;4;2;1;23;145.206.085.927.903
612373;1;2;23;80;1;4;2;;2;;2;;;;;9;2;1;23;145.206.085.927.903
612373;1;5;23;80;2;;;;2;;2;;2;;.;;;1;23;145.206.085.927.903
612373;2;2;23;80;1;1;5;;2;;2;;;;;6;2;1;23;145.206.085.927.903
612377;1;1;23;80;1;4;4;;3;;2;;;;;4;2;1;23;92.396.620.854.039
612377;1;2;23;80;1;4;2;;2;;2;;;;;9;2;1;23;92.396.620.854.039
612377;1;5;23;80;2;;;;2;;2;;2;;.;;;1;23;92.396.620.854.039
612378;1;1;23;80;1;4;2;;2;;2;;;;;9;2;1;23;114.708.000.947.603
612379;1;1;23;80;1;3;3;;3;;2;;;;;4;2;1;23;912.040.411.955.378
612379;1;2;23;80;1;3;2;;2;;2;;;;;9;2;1;23;912.040.411.955.378
612379;1;3;23;80;1;4;3;;2;;2;;;;;4;2;1;23;912.040.411.955.378
612380;1;2;23;80;1;3;4;;3;;2;;;;;10;2;1;23;145.286.423.315.687
612381;1;2;23;80;2;;;;2;;2;;2;;.;;;1;23;736.051.164.974.085
612381;1;3;23;80;2;;;;2;;2;;2;;.;;;1;23;736.051.164.974.085
612382;1;3;23;80;2;;;;2;;2;;2;;.;;;1;23;135.013.791.602.156
612384;1;2;23;80;2;;;;2;;2;;2;;.;;;1;23;160.935.973.518
612385;1;2;23;80;2;;;;2;;2;;2;;.;;;1;23;172.092.976.593.233
612385;1;3;23;80;2;;;;2;;2;;2;;.;;;1;23;172.092.976.593.233
612385;1;4;23;80;2;;;;2;;2;;2;;.;;;1;23;172.092.976.593.233
612387;1;2;23;80;2;;;;2;;2;;2;;.;;;1;23;149.470.527.006.937
612388;1;3;23;80;2;;;;2;;2;;2;;.;;;1;23;160.935.973.518
612389;1;2;23;80;2;;;;2;;2;;2;;.;;;1;23;103.317.287.138.922
612393;1;5;23;80;1;4;3;;2;;2;;;;;4;2;1;23;161.979.715.403.457
612394;1;1;23;80;2;;;;2;;2;;2;;.;;;1;23;141.822.762.521.948
612398;1;3;23;80;2;;;;2;;2;;2;;.;;;1;23;925.223.008.992.976
612398;1;4;23;80;2;;;;2;;2;;2;;.;;;1;23;925.223.008.992.976
612399;1;4;23;80;2;;;;2;;2;;2;;.;;;1;23;133.895.709.507.006
612526;1;2;50;80;1;4;2;;2;;2;;;;;9;2;1;50;169.868.420.401.921
612527;1;2;50;80;1;4;2;;2;;2;;;;;9;2;1;50;128.667.072.786.007
612527;1;3;50;80;2;;;;2;;2;;2;;.;;;1;50;128.667.072.786.007
612528;1;1;50;80;1;4;4;;3;;2;;;;;10;2;1;50;142.745.723.424.952
612528;1;2;50;80;1;3;2;;2;;2;;;;;9;2;1;50;142.745.723.424.952
612528;1;4;50;80;2;;;;2;;2;;2;;.;;;1;50;142.745.723.424.952
612529;1;1;50;80;1;4;3;;2;;2;;;;;4;2;1;50;181.739.648.853.472
612530;1;1;50;80;1;3;3;;2;;2;;;;;4;2;1;50;201.371.533.776.619
612530;1;2;50;80;1;4;2;;2;;2;;;;;9;2;1;50;201.371.533.776.619
612530;2;1;50;80;1;4;2;;2;;2;;;;;9;2;1;50;201.371.533.776.619
612530;2;2;50;80;1;4;3;;2;;2;;;;;4;2;1;50;201.371.533.776.619
612531;1;2;50;80;2;;;;2;;2;;2;;.;;;1;50;156.979.803.352.546
612533;1;1;50;80;1;4;3;;2;;2;;;;;4;2;1;50;132.150.873.172.227
612533;1;2;50;80;2;;;;2;;2;;2;;.;;;1;50;132.150.873.172.227
612533;1;3;50;80;2;;;;2;;2;;2;;.;;;1;50;132.150.873.172.227
612534;1;2;50;80;2;;;;2;;2;;2;;.;;;1;50;161.831.751.533.929
612535;1;1;50;80;1;3;4;;3;;2;;;;;10;2;1;50;111.871.317.557.758
612535;1;2;50;80;1;4;2;;2;;2;;;;;9;2;1;50;111.871.317.557.758
612536;1;1;50;80;1;4;4;;3;;2;;;;;10;2;1;50;14.487.203.092.922
612536;1;3;50;80;1;1;5;;2;;2;;;1;;2;1;1;50;14.487.203.092.922
612541;1;2;50;80;1;2;1;;2;;2;;;;;2;2;1;50;1.659.176.431.295
612541;1;3;50;80;2;;;;2;;2;;2;;.;;;1;50;1.659.176.431.295
612542;1;2;50;80;1;4;2;;2;;2;;;;;9;2;1;50;14.487.203.092.922
612542;1;3;50;80;2;;;;2;;2;;2;;.;;;1;50;14.487.203.092.922
612543;1;1;50;80;1;4;4;;3;;2;;;;;4;2;1;50;108.056.731.713.801
612543;1;3;50;80;2;;;;2;;2;;2;;.;;;1;50;108.056.731.713.801
612545;1;2;50;80;2;;;;2;;2;;2;;.;;;1;50;109.444.853.248.566
612545;3;1;50;80;2;;;;2;;2;;2;;.;;;1;50;109.444.853.248.566
612545;4;1;50;80;1;1;1;;2;;2;;;;;2;2;1;50;109.444.853.248.566
612546;1;1;50;80;1;4;2;;3;;2;;;;;9;2;1;50;137.618.114.601.818
612548;1;1;50;80;2;;;;2;;2;;2;;.;;;1;50;154.098.733.386.783
612548;2;1;50;80;2;;;;2;;2;;2;;.;;;1;50;154.098.733.386.783
612550;1;2;50;80;1;2;1;;2;;2;;;;;2;2;1;50;1.659.176.431.295
612550;1;3;50;80;2;;;;2;;2;;2;;.;;;1;50;1.659.176.431.295
612551;1;3;50;80;2;;;;2;;2;;2;;.;;;1;50;172.418.704.909.948
612552;1;3;50;80;2;;;;2;;2;;2;;.;;;1;50;183.013.555.162.673
612555;1;1;50;80;1;4;2;;2;;2;;;;;8;2;1;50;110.210.909.834.378
612555;1;2;50;80;1;3;4;;3;;2;;;3;;8;1;1;50;110.210.909.834.378
612555;1;4;50;80;2;;;;2;;2;;2;;.;;;1;50;110.210.909.834.378
612557;1;5;50;80;1;4;3;;3;;2;;;;;8;2;1;50;140.179.789.902.473
612557;2;2;50;80;2;;;;2;;2;;2;;.;;;1;50;140.179.789.902.473
612559;1;1;52;80;1;4;3;;2;;2;;;;;8;2;1;52;994.794.985.323.574
612561;1;3;52;80;2;;;;2;;2;;2;;.;;;1;52;157.884.763.693.298
612561;1;4;52;80;2;;;;2;;2;;2;;.;;;1;52;157.884.763.693.298
612562;1;3;52;80;1;1;1;;2;;1;230000;;;;2;2;1;52;215.847.528.026.995
612562;1;4;52;80;1;1;1;;2;;2;;;;;2;2;1;52;215.847.528.026.995
612563;1;3;52;80;2;;;;2;;2;;2;;.;;;1;52;173.278.384.951.313
612564;1;2;52;80;1;4;2;;2;;2;;;;;9;2;1;52;135.151.690.134.018
612564;1;3;52;80;1;1;7;;2;;2;;;;;2;2;1;52;135.151.690.134.018
612564;1;4;52;80;2;;;;2;;2;;2;;.;;;1;52;135.151.690.134.018
612565;1;3;52;80;2;;;;2;;2;;2;;.;;;1;52;167.286.544.700.878
612566;1;2;52;80;1;1;1;;2;;2;;;;;2;2;1;52;107.091.356.552.069
612567;1;3;52;80;1;3;1;;2;;2;;;1;;2;1;1;52;155.340.945.703.304
612568;1;2;52;80;2;;;;2;;2;;2;;.;;;1;52;15.920.599.079.929
612568;1;4;52;80;2;;;;2;;2;;2;;.;;;1;52;15.920.599.079.929
612571;1;4;52;80;2;;;;2;;2;;2;;.;;;1;52;156.402.357.532.054
612571;1;5;52;80;2;;;;2;;2;;2;;.;;;1;52;156.402.357.532.054
612572;1;3;52;80;2;;;;2;;2;;2;;.;;;1;52;158.668.202.961.719
612572;1;4;52;80;2;;;;2;;2;;2;;.;;;1;52;158.668.202.961.719
612573;1;2;52;80;2;;;;2;;2;;2;;.;;;1;52;12.562.097.286.179
612575;1;2;52;80;2;;;;2;;2;;2;;.;;;1;52;139.308.510.953.514
612575;1;3;52;80;2;;;;2;;2;;2;;.;;;1;52;139.308.510.953.514
612577;1;2;52;80;2;;;;2;;2;;2;;.;;;1;52;189.252.131.714.997
612578;1;2;52;80;2;;;;2;;2;;2;;.;;;1;52;189.876.518.149.118
612578;1;3;52;80;2;;;;2;;2;;2;;.;;;1;52;189.876.518.149.118
612579;1;2;52;80;1;4;2;;2;;2;;;;;9;2;1;52;361.684.625.330.962
612579;1;3;52;80;2;;;;2;;2;;2;;.;;;1;52;361.684.625.330.962
612579;1;5;52;80;2;;;;2;;2;;2;;.;;;1;52;361.684.625.330.962
612580;1;2;52;80;2;;;;2;;2;;2;;.;;;1;52;152.287.611.169.393
612580;1;3;52;80;2;;;;2;;2;;2;;.;;;1;52;152.287.611.169.393
612581;1;2;52;80;2;;;;2;;2;;2;;.;;;1;52;189.876.518.149.118
612581;1;3;52;80;2;;;;2;;2;;2;;.;;;1;52;189.876.518.149.118
612582;1;2;52;80;2;;;;2;;2;;2;;.;;;1;52;142.219.106.059.595
612583;1;1;52;80;1;4;4;;3;;2;;;4;;8;1;1;52;101.675.385.642.502
612583;1;2;52;80;1;4;2;;2;;2;;;;;9;2;1;52;101.675.385.642.502
612583;1;4;52;80;1;1;7;;2;;2;;;;;2;2;1;52;101.675.385.642.502
612584;1;1;52;80;1;4;3;;2;;2;;;;;4;2;1;52;192.456.646.419.041
612584;1;2;52;80;1;1;1;;2;;2;;;;;2;2;1;52;192.456.646.419.041
612584;1;3;52;80;2;;;;2;;2;;2;;.;;;1;52;192.456.646.419.041
612585;1;2;52;80;2;;;;2;;2;;2;;.;;;1;52;12.562.097.286.179
612587;1;3;52;80;1;1;1;;2;;2;;;;;2;2;1;52;204.875.451.680.603
612589;1;2;52;80;2;;;;2;;2;;2;;.;;;1;52;107.091.356.552.069
612589;1;3;52;80;2;;;;2;;2;;2;;.;;;1;52;107.091.356.552.069
612594;1;3;52;80;2;;;;2;;2;;2;;.;;;1;52;141.681.318.222.024
