DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P744;P1884;P1807;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P6921;P7470;P7472;P7472S1;INI;MES;p7440;DPTO;fex_c_2011
5570685;1;1;1;80;;1;;;;1;7;;2;;;4;;1;1;1;2;;1;10;4;25;4621.1942807
5570685;1;2;1;80;;1;;;;1;7;;2;;;11;;3;3;;2;;1;10;4;25;4621.1942807
5570686;1;1;1;80;;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;25;4621.1942807
5570686;1;2;1;80;;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;25;4621.1942807
5570688;1;1;1;80;;1;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;25;4454.8759386
5570689;1;1;1;80;;1;;;;1;8;;2;;;11;;3;3;;2;;1;10;4;25;4621.1942807
5570689;1;2;1;80;;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;25;4621.1942807
5570694;1;3;1;80;;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;44;831.79616115
5570694;1;4;1;80;;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;44;831.79616115
5570694;1;5;1;80;;1;;;;2;;;;2;;;.;;;;2;;1;10;;44;831.79616115
5570695;1;1;1;80;;1;;;;1;5;;2;;;8;;2;2;;2;;1;10;4;44;771.99877317
5570699;1;4;1;80;;1;;;;1;6;;2;;;9;;2;2;;2;;1;10;4;50;698.86725371
5570700;1;1;1;80;;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;50;681.95379755
5570700;1;2;1;80;;1;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;50;681.95379755
5570701;1;3;1;80;;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;50;879.36092241
5570702;1;3;1;80;;1;;;;2;;;;2;;;.;;;;2;;1;10;;50;1086.4174281
5570704;1;2;1;80;;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;50;1373.5515341
5570707;1;1;1;80;;1;2;;98;1;3;;2;;;8;;2;2;;2;;1;10;4;76;1234.1750988
5570708;1;1;1;80;;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;76;1028.2369235
5570709;1;2;1;80;;1;;;;1;1;;2;;;4;;3;3;;2;;1;10;4;76;937.47996539
5570710;1;2;1;80;;1;2;;98;1;3;;1;;1;9;;2;2;;2;;1;10;1.4;76;1428.1979681
5570717;1;1;1;80;;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;19;3726.0796666
5570717;1;2;1;80;;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;19;3726.0796666
5570717;1;7;1;80;;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;19;3726.0796666
5570718;1;2;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;3;05;1180.58449
5570720;1;2;1;80;05;1;;;;1;7;;2;;;11;;2;2;;2;;1;10;4;05;1196.7236319
5570721;1;3;1;80;05;1;1;48;908526;1;2;;2;;;2;;2;2;;2;;1;10;1.4;05;1170.4997021
5570722;1;1;1;80;05;1;;;;1;5;;2;;;10;;2;2;;2;;1;10;4;05;955.07688357
5570722;1;2;1;80;05;1;1;48;1500000;1;1;;2;;;9;;2;2;;2;;1;10;2;05;955.07688357
5570723;1;3;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;10;;05;985.02206633
5570727;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;10;3;05;1255.7978116
5570727;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1255.7978116
5570727;1;4;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1255.7978116
5570728;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1224.0375677
5570728;1;5;1;80;05;1;;;;2;;;;1;4;10;;3;3;;2;;1;10;;05;1224.0375677
5570730;1;1;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1283.7387847
5570730;1;3;1;80;05;1;;;;1;1;;2;;;8;;2;2;;2;;1;10;2;05;1283.7387847
5570731;1;1;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1212.4207996
