DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
6,000,013;1;3;1;70;05;1;1;48;1,200,000;1;;2;1;1;;3;2;9;POR COBERTURA;2;;;;;;;;;;;1;1;908526;47;45;45;1;1;11;4774;05;1030.3000973
6,000,015;1;3;1;70;05;1;156;48;908,526;1;;2;176;1;;3;2;1;;2;;;;;;;;;;;1;2;;14;79;79;1;2;11;1410;05;1064.4435899
6,000,041;1;4;1;70;54;1;2;48;1,000,000;1;;2;4;4;;1;2;1;;2;;;;;;;;;;;1;1;500000;47;45;45;1;1;11;4792;54;219.52449711
6,000,043;1;3;1;70;54;1;52;48;900,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;11;;54;228.04795128
6,000,043;1;4;1;70;54;1;52;48;900,000;4;;2;52;4;;1;2;1;;2;;;;;;;;;;;1;2;;96;57;57;1;2;11;9602;54;228.04795128
6,000,044;2;2;2;70;54;1;4;48;800,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;11;;54;523.09490992
6,000,576;1;2;1;70;;1;26;48;1,200,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;39;;1;2;11;;15;4065.9472413
6,000,661;1;1;1;70;05;1;16;48;908,000;1;;2;18;1;;6;2;2;;2;;;;;;;;;;;1;2;;56;53;53;1;2;11;5611;05;1181.386344
6,000,663;1;3;1;70;05;1;2;48;908,526;1;;2;156;1;;3;2;4;;2;;;;;;;;;;;1;2;;96;57;57;1;1;11;9602;05;1189.5934516
6,000,665;1;5;1;70;05;1;110;48;908,000;1;;2;120;1;;3;2;8;;2;;;;;;;;;;;1;2;;56;53;53;1;2;11;5611;05;1080.9382469
6,000,666;1;2;1;70;05;1;17;48;908,526;1;;2;50;1;;6;2;2;;1;1;;;1;;;;;;;;2;;47;21;39;1;2;11;4752;05;1062.7729819
6,000,667;1;4;1;70;05;1;1;48;908,526;1;;2;16;1;;2;2;1;;2;;;;;;;;;;;1;2;;14;79;79;1;1;11;1410;05;1023.2182845
6,000,685;1;2;1;70;05;1;52;48;908,526;1;;2;52;1;;4;2;1;;2;;;;;;;;;;;1;1;50000;18;55;55;1;2;11;1811;05;1066.1890875
6,000,688;1;2;1;70;05;1;45;48;908,526;1;;2;52;1;;4;2;2;;2;;;;;;;;;;;1;2;;47;40;33;1;2;11;4711;05;1137.5329144
6,000,702;1;3;1;70;05;1;104;48;908,526;1;;2;12;1;;5;2;1;;1;1;;;1;;;;;;;;2;;69;12;12;1;2;11;6910;05;1029.4923604
6,000,712;1;2;1;70;05;1;40;48;3,000,000;1;;2;60;1;;3;2;5;;1;1;;;1;;;;;;;;2;;68;40;44;1;2;11;6820;05;1122.9657371
6,000,723;1;3;1;70;05;1;4;48;908,526;1;;2;3;1;;2;2;2;;2;;;;;;;;;;;1;1;908526;47;45;45;1;1;11;4719;05;1030.8398585
6,000,728;1;2;1;70;05;1;5;48;908,526;1;;2;5;1;;4;2;1;;2;;;;;;;;;;;1;2;;56;37;37;1;1;11;5611;05;1113.0131318
6,000,731;1;1;1;70;05;1;52;48;1,500,000;1;;2;156;1;;4;2;1;;2;;;;;;;;;;;1;2;;14;32;33;1;2;11;1410;05;957.26654047
6,000,731;1;3;1;70;05;1;20;48;1,500,000;1;;2;52;1;;9;2;1;;2;;;;;;;;;;;1;2;;85;13;13;1;2;11;8530;05;957.26654047
6,000,732;1;2;1;70;05;1;72;48;908,526;1;;2;72;1;;9;2;2;;2;;;;;;;;;;;1;2;;49;21;33;1;2;11;4921;05;1123.5859399
6,000,733;1;2;1;70;05;1;16;24;450,000;1;;2;96;6;;2;2;1;;2;;;;;;;;;;;1;2;;56;97;53;1;2;11;5619;05;1172.5590335
6,000,750;1;2;1;70;05;1;4;48;1,000,000;4;;2;4;4;;1;2;2;;2;;;;;;;;;;;1;1;3000000;13;92;92;1;1;11;1313;05;1237.5427907
6,000,750;1;5;1;70;05;1;104;24;250,000;1;;2;20;4;;1;2;1;;2;;;;;;;;;;;1;2;;73;53;16;1;2;11;7310;05;1237.5427907
6,000,754;1;3;1;70;05;1;48;48;2,500,000;1;;2;48;1;;9;2;1;;1;1;;;1;;1;;;;;;2;;85;13;13;1;2;11;8544;05;1053.9456714
6,000,776;1;1;1;70;05;1;12;8;908,526;1;;2;104;4;;1;2;2;;2;;;;;1;;;;;;;2;;90;55;17;1;1;11;9002;05;1130.6677527
6,000,808;1;1;1;70;05;1;8;60;908,526;1;;2;8;4;;1;2;1;;2;;;;;;;;;;;1;2;;68;95;55;1;1;11;6820;05;1477.2590895
6,000,809;1;1;1;70;05;1;4;48;908,526;1;;2;104;1;;8;2;1;;2;;;;;;;;;;;1;2;;85;38;55;1;1;11;8544;05;1073.2709003
6,000,810;1;3;1;70;05;1;4;48;908,526;1;;2;32;1;;3;2;1;;2;;;;;;;;;;;1;2;;41;38;95;1;1;11;4111;05;1081.5584497
6,000,813;1;2;1;70;05;1;5;48;908,526;1;;2;5;1;;8;2;1;;2;;;;;;;;;;;1;2;;78;38;38;1;1;11;7810;05;1066.1890875
6,000,829;1;2;1;70;05;1;52;48;1,200,000;1;;2;52;1;;7;2;1;;2;;;;;;;;;;;1;2;;49;98;98;1;2;11;4923;05;1057.361777
6,000,829;1;3;1;70;05;1;46;48;1,200,000;1;;2;86;1;;6;2;1;;2;;;;;;;;;;;1;2;;49;98;98;1;2;11;4923;05;1057.361777
6,000,834;1;1;1;70;05;1;8;48;908,526;1;;2;8;1;;7;2;1;;2;;;;;;;;;;;1;2;;47;97;97;1;1;11;4722;05;1129.3258068
6,000,841;1;1;1;70;05;1;2;48;1,200,000;1;;2;2;1;;4;2;7;;2;;;;;;;;;;;1;1;1200000;47;45;45;1;1;11;4771;05;1173.6843283
6,000,851;1;2;1;70;05;1;3;48;908,526;1;;2;5;1;;4;2;2;;2;;;;;;;;;;;1;2;;47;33;33;1;1;11;4711;05;1081.5584497
6,000,853;1;3;1;70;05;1;12;48;908,526;1;;2;12;1;;9;2;4;;2;;;;;;;;;;;1;2;;52;97;33;1;1;11;5221;05;1072.0038441
6,000,855;1;1;1;70;05;1;8;48;1,800,000;1;;2;8;1;;5;2;7;;2;;;;;;;;;;;1;2;;43;87;87;1;1;11;4322;05;1029.5728022
6,000,855;1;3;1;70;05;1;9;48;1,600,000;1;;2;9;1;;6;2;4;;2;;;;;;;;;;;1;2;;62;33;33;1;1;11;6201;05;1029.5728022
6,000,867;1;2;1;70;05;1;12;48;2,000,000;5;;2;144;1;;9;2;3;;2;;;;;;;;;;;1;2;;14;21;03;1;1;11;1410;05;1079.0856569
6,000,872;1;1;1;70;05;1;150;48;1,000,000;4;;2;180;4;;1;2;2;;2;;;;;;;;;;;1;2;;49;98;98;1;2;11;4921;05;1179.6408463
6,000,891;1;2;1;70;05;1;104;48;908,526;1;;2;60;1;;6;2;1;;2;;;;;;;;;;;1;2;;41;97;95;1;2;11;4111;05;1113.0131318
6,000,892;1;2;1;70;05;1;52;48;2,000,000;2;;2;58;4;;9;2;1;;2;;;;;;;;;;;1;2;;86;08;08;1;2;11;8621;05;1121.8404423
6,000,894;1;2;1;70;05;1;48;48;1,000,000;1;;2;12;1;;1;2;2;;2;;;;;;;;;;;1;2;;96;45;57;1;2;11;9602;05;1121.8404423
6,000,895;1;4;1;70;05;1;12;48;1,000,000;1;;2;12;1;;9;2;7;;2;;;;;;;;;;;1;2;;06;95;98;1;1;11;0610;05;1028.9525993
6,000,899;1;2;1;70;05;1;40;48;1,500,000;1;;2;100;1;;9;2;2;;2;;;;;;;;;;;1;2;;10;33;33;1;2;11;1040;05;1123.5859399
6,000,906;1;1;1;70;05;1;12;48;908,526;1;;2;12;1;;3;2;5;;2;;;;;;;;;;;1;1;500000;74;21;21;1;1;11;7490;05;1187.847954
6,000,921;1;2;1;70;05;1;46;48;908,526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;38;;1;2;11;;05;1097.649555
6,000,936;1;2;1;70;05;1;2;48;1,800,000;1;;2;2;1;;9;2;1;;1;1;;;1;;;;;;;;2;;82;19;19;1;1;11;8220;05;1081.154898
6,000,946;1;3;1;70;05;1;24;24;908,526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;11;;05;1039.1274078
6,000,960;1;3;1;70;05;1;4;48;908,526;1;;2;4;4;;1;2;4;;2;;;;;;;;;;;1;1;600000;96;16;16;1;1;11;9609;05;1493.1682128
6,000,969;1;4;1;70;08;1;12;48;908,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;11;;08;710.22793597
6,000,970;1;2;1;70;08;1;4;48;906,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;11;;08;485.21169146
6,000,971;1;1;1;70;08;1;108;40;900,000;1;;2;16;4;;1;2;1;;2;;;;;;;;;;;1;2;;47;33;45;1;2;11;4722;08;653.34280755
6,000,977;1;2;1;70;08;1;12;48;2,000,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;19;;1;1;11;;08;525.94889509
6,000,979;1;1;1;70;08;1;4;48;908,000;1;;2;4;1;;2;2;2;;2;;;;;;;;;;;1;1;280000;31;95;93;1;1;11;3110;08;641.94196949
6,001,005;1;2;1;70;08;1;76;48;906,000;1;;2;76;4;;1;2;1;;2;;;;;;;;;;;1;2;;56;95;45;1;2;11;5619;08;583.221031
6,001,005;1;3;1;70;08;1;74;48;906,000;1;;2;74;1;;9;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;2;11;4772;08;583.221031
6,001,006;1;1;1;70;08;1;108;40;900,000;1;;2;108;4;;1;2;1;;2;;;;;;;;;;;1;2;;49;55;98;1;2;11;4921;08;525.18480803
6,001,008;1;3;1;70;08;1;4;48;910,000;1;;2;4;1;;7;2;1;;2;;;;;;;;;;;1;2;;33;85;84;1;1;11;3312;08;806.06085936
6,001,022;1;3;1;70;08;1;2;40;1,000,000;1;;2;3;1;;5;2;1;;2;;;;;;;;;;;1;1;980000;20;37;97;1;1;11;2023;08;616.25408622
6,001,022;1;4;1;70;08;1;12;40;900,000;1;;2;108;1;;9;2;1;;2;;;;;;;;;;;1;2;;85;03;03;1;1;11;8544;08;616.25408622
6,001,027;1;1;1;70;08;1;80;48;908,526;1;;2;20;1;;9;2;1;;2;;;;;;;;;;;1;2;;38;55;99;1;2;11;3811;08;598.63155755
6,001,048;1;4;1;70;08;1;15;48;850,000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;11;;08;575.73740332
6,001,050;1;1;1;70;08;1;48;48;900,000;1;;2;48;4;;1;2;2;;2;;;;;;;;;;;1;2;;41;95;95;1;2;11;4111;08;616.6929701
6,001,059;1;2;1;70;08;1;52;48;1,000,000;1;;2;52;4;;3;2;1;;2;;;;;;;;;;;1;2;;47;97;41;1;2;11;4741;08;706.02242206
6,001,060;1;3;1;70;08;1;52;48;900,000;1;;2;52;4;;4;2;1;;2;;;;;;;;;;;1;2;;15;45;99;1;2;11;1521;08;593.83941758
6,001,065;1;5;1;70;08;1;18;48;1,000,000;1;;2;25;1;;3;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;2;11;4723;08;560.42104871
6,001,067;1;5;1;70;08;1;106;48;500,000;1;;2;156;1;;4;2;1;;2;;;;;;;;;;;1;2;;56;45;53;1;2;11;5611;08;605.29213203
6,001,068;1;5;1;70;08;1;5;48;908,000;1;;2;53;1;;1;2;1;;2;;;;;;;;;;;1;2;;97;45;54;1;1;11;9700;08;765.10529258
6,001,071;1;2;1;70;08;1;48;48;900,000;1;;2;24;1;;4;2;1;;2;;;;;;;;;;;1;2;;49;32;32;1;2;11;4923;08;682.53058705
6,001,072;1;2;1;70;08;1;52;48;908,000;1;;2;104;1;;9;2;2;;2;;;;;;;;;;;1;2;;86;03;03;1;2;11;8610;08;580.04313265
6,001,073;1;3;1;70;08;1;52;48;400,000;3;;2;52;3;;1;2;8;;2;;;;;;;;;;;1;2;;97;54;54;1;2;11;9700;08;554.01168178
6,001,075;1;3;1;70;08;1;52;48;908,000;1;;2;54;1;;9;2;1;;2;;;;;;;;;;;1;2;;61;45;44;1;2;11;6120;08;922.12907371
6,001,075;1;4;1;70;08;1;100;48;600,000;1;;2;102;1;;9;2;1;;2;;;;;;;;;;;1;2;;47;97;45;1;2;11;4731;08;922.12907371
6,001,078;1;10;1;70;08;1;48;48;900,000;1;;2;48;1;;9;2;1;;2;;;;;;;;;;;1;2;;45;45;32;1;2;11;4511;08;457.34839998
6,001,083;1;1;1;70;08;1;52;48;908,526;1;;2;80;1;;9;2;8;;2;;;;;;;;;;;1;2;;10;87;87;1;2;11;1011;08;707.78182449
