DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P744;P1884;P1807;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P6921;P7470;P7472;P7472S1;INI;MES;p7440;DPTO;fex_c_2011
6,000,658;1;5;1;80;05;1;;;;1;1;;2;;;8;;2;2;;2;;1;11;4;05;894.3979112
6,000,659;1;2;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;871.94450378
6,000,659;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;871.94450378
6,000,659;1;5;1;80;05;1;;;;1;8;;2;;;2;;2;2;;2;;1;11;2;05;871.94450378
6,000,659;1;6;1;80;05;1;;;;1;8;;2;;;1;;2;2;;2;;1;11;2;05;871.94450378
6,000,660;1;1;1;80;05;1;1;48;908,526;1;8;;2;;;4;;3;3;;2;;1;11;1.4;05;1138.3350993
6,000,660;1;3;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;11;;05;1138.3350993
6,000,662;1;1;1;80;05;1;;;;1;8;;2;;;8;;2;2;;2;;1;11;4;05;1526.3683925
6,000,664;1;1;1;80;05;1;;;;1;4;;2;;;4;;3;3;;2;;1;11;3;05;1129.3258068
6,000,666;1;1;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1062.7729819
6,000,667;1;5;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;11;;05;1023.2182845
6,000,675;1;5;1;80;05;1;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;05;1468.9715401
6,000,680;1;1;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1081.154898
6,000,680;1;2;1;80;05;1;;;908,526;2;;;;1;1;2;;2;2;;2;;1;11;;05;1081.154898
6,000,683;1;3;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;11;;05;1138.3350993
6,000,684;1;1;1;80;05;1;1;48;908,526;1;1;;1;;3;8;;2;1;2;2;;1;11;3;05;1062.7729819
6,000,684;1;2;1;80;05;1;2;;908,526;1;1;;2;;;4;;2;2;;2;;1;11;3;05;1062.7729819
6,000,685;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1066.1890875
6,000,685;1;4;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;11;;05;1066.1890875
6,000,687;1;2;1;80;05;1;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;05;935.81075062
6,000,687;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;935.81075062
6,000,687;1;4;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;935.81075062
6,000,687;1;5;1;80;05;1;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;05;935.81075062
6,000,689;1;4;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1063.9038287
6,000,689;1;5;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1063.9038287
6,000,692;1;1;1;80;05;1;;;;1;8;;2;;;4;;2;2;;2;;1;11;4;05;1064.8471416
6,000,693;1;1;1;80;05;1;;;;1;8;;2;;;10;;3;3;;1;600,000;1;11;1.1;05;1136.9876013
6,000,694;1;1;1;80;05;1;;;;1;5;;2;;;11;;3;3;;2;;1;11;4;05;1021.2852528
6,000,694;1;2;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1021.2852528
6,000,697;1;1;1;80;05;1;;;;1;5;;2;;;8;;3;3;;2;;1;11;4;05;1071.6002924
6,000,697;1;2;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;05;1071.6002924
6,000,700;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1073.4528823
6,000,700;1;5;1;80;05;1;;;;1;5;;2;;;9;;3;3;;2;;1;11;4;05;1073.4528823
6,000,702;1;2;1;80;05;1;;;;1;1;;2;;;9;;2;2;;2;;1;11;4;05;1029.4923604
6,000,703;1;2;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;05;852.83529247
6,000,710;1;1;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;05;1079.0856569
6,000,710;1;2;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;05;1079.0856569
6,000,711;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;955.86327476
6,000,711;1;2;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;955.86327476
6,000,711;1;5;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;11;;05;955.86327476
6,000,711;1;6;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;11;;05;955.86327476
6,000,712;1;1;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1122.9657371
6,000,713;1;1;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1013.7998883
6,000,713;1;2;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1013.7998883
6,000,715;1;3;1;80;05;1;1;49;908,526;1;2;;2;;;2;;2;2;;1;200,000;1;11;1.2;05;1123.9894916
6,000,717;1;4;1;80;05;1;2;;1,500,000;2;;;;1;1;2;;2;2;;2;;1;11;;05;1029.4979125
6,000,718;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1130.6677527
6,000,721;1;1;1;80;05;1;;;;1;7;;2;;;10;;3;3;;2;;1;11;4;05;1071.6002924
6,000,721;1;2;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1071.6002924
6,000,723;1;1;1;80;05;1;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;05;1030.8398585
6,000,724;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1129.4006964
6,000,725;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1080.3527132
6,000,726;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1079.8129521
6,000,727;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1021.2852528
6,000,727;1;2;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;05;1021.2852528
6,000,728;1;1;1;80;05;1;;;;1;8;;2;;;8;;2;2;;2;;1;11;4;05;1113.0131318
6,000,730;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1012.4579423
6,000,730;1;2;1;80;05;1;;;;1;6;;2;;;9;;2;2;;2;;1;11;4;05;1012.4579423
6,000,731;1;2;1;80;05;1;;;;1;5;;2;;;8;;2;2;;2;;1;11;4;05;957.26654047
6,000,732;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1123.5859399
6,000,734;1;2;1;80;05;1;;;;1;9;RENUNCIO;2;;;11;;2;2;;1;2,500,000;1;11;1.1;05;1170.8135359
6,000,735;1;2;1;80;05;1;;;;1;8;;2;;;1;;2;2;;2;;1;11;3;05;1129.3258068
6,000,736;1;1;1;80;05;1;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;05;1130.6677527
6,000,737;1;1;1;80;05;1;;;;1;7;;2;;;8;;2;2;;2;;1;11;4;05;1013.7998883
6,000,737;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1013.7998883
6,000,738;1;1;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;05;1022.012548
6,000,738;1;4;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1022.012548
6,000,739;1;3;1;80;05;1;2;;908,526;1;8;;2;;;2;;2;2;;2;;1;11;1.4;05;1180.7661412
6,000,741;1;2;1;80;05;1;;;;1;5;;2;;;11;;3;3;;2;;1;11;4;05;1021.2852528
6,000,741;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1021.2852528
6,000,744;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;845.34992794
6,000,744;1;2;1;80;05;1;;;;1;3;;2;;;4;;2;2;;2;;1;11;4;05;845.34992794
6,000,744;1;6;1;80;05;1;;;;1;8;;2;;;4;;1;1;2;2;;1;11;2;05;845.34992794
6,000,747;1;1;1;80;05;1;;;;1;9;PANDEMIA;2;;;8;;2;2;;2;;1;11;2;05;1073.2709003
6,000,747;1;3;1;80;05;1;;;;1;8;;2;;;11;;2;2;;2;;1;11;1.2;05;1073.2709003
6,000,748;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1484.3409023
6,000,749;1;2;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1088.6402625
6,000,751;1;1;1;80;05;1;;;;1;7;;2;;;4;;2;2;;2;;1;11;4;05;1071.6002924
6,000,751;1;2;1;80;05;1;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;05;1071.6002924
6,000,754;1;1;1;80;05;1;;;;1;4;;2;;;4;;3;3;;2;;1;11;4;05;1053.9456714
6,000,754;1;2;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;05;1053.9456714
6,000,755;1;3;1;80;05;1;2;;99;1;8;;2;;;2;;1;2;;2;;1;11;1.2;05;1071.9289544
6,000,756;1;2;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1071.6002924
6,000,757;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1072.8673486
6,000,757;1;2;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1072.8673486
6,000,759;1;1;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1138.1531173
6,000,761;1;1;1;80;05;1;;;;1;8;;2;;;4;;2;2;;1;30,000;1;11;1.2;05;1533.853757
6,000,763;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1062.7729819
6,000,763;1;2;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1062.7729819
6,000,763;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1062.7729819
6,000,764;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;2057.3534813
6,000,765;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;955.99948417
6,000,765;1;2;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;955.99948417
6,000,765;1;3;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;1.3;05;955.99948417
6,000,765;1;4;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;2;05;955.99948417
6,000,766;1;2;1;80;05;1;;;;1;8;;2;;;1;;1;1;4;2;;1;11;3;05;1115.1621811
6,000,766;1;3;1;80;05;1;;;;1;2;;2;;;9;;2;2;;2;;1;11;2;05;1115.1621811
6,000,766;1;4;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1115.1621811
6,000,767;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1484.3409023
6,000,768;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1071.6002924
6,000,768;1;2;1;80;05;1;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;05;1071.6002924
6,000,770;1;2;1;80;05;1;;;;1;2;;2;;;2;;2;2;;2;;1;11;2;05;1079.8878417
6,000,771;1;3;1;80;05;1;;;;1;3;;2;;;4;;2;2;;2;;1;11;4;05;963.01997725
6,000,774;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;3;05;1072.8673486
6,000,774;1;2;1;80;05;1;;;;1;1;;2;;;8;;2;2;;2;;1;11;4;05;1072.8673486
6,000,775;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1071.6002924
6,000,775;1;2;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;05;1071.6002924
6,000,777;1;2;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;05;1071.6002924
6,000,778;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1003.6306318
6,000,778;1;2;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1003.6306318
6,000,779;1;2;1;80;05;1;;;;1;1;;2;;;9;;3;3;;2;;1;11;3;05;1013.2601271
6,000,779;1;4;1;80;05;1;;;;2;;;;1;3;2;;2;2;;2;;1;11;;05;1013.2601271
6,000,780;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1130.6677527
6,000,783;1;3;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;11;;05;1071.9289544
6,000,783;1;4;1;80;05;1;;;;1;3;;2;;;8;;2;2;;2;;1;11;4;05;1071.9289544
6,000,784;1;1;1;80;05;1;;;;1;8;;2;;;8;;2;2;;2;;1;11;4;05;1015.0669446
6,000,784;1;2;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1015.0669446
6,000,784;1;3;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1015.0669446
6,000,786;1;1;1;80;05;1;;;;1;8;;2;;;1;;2;2;;2;;1;11;2;05;1072.7311392
6,000,786;1;4;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1072.7311392
6,000,788;1;3;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;11;;05;1122.243994
6,000,789;1;2;1;80;05;1;1;48;908,526;2;;;;2;;;.;2;2;;2;;1;11;;05;1081.5584497
6,000,789;1;3;1;80;05;1;1;24;480,000;2;;;;2;;;.;;;;2;;1;11;;05;1081.5584497
6,000,793;1;1;1;80;05;1;1;48;908,526;1;3;;1;;3;9;;2;2;;2;;1;11;3;05;1196.6752645
6,000,794;1;3;1;80;05;1;;;908,526;1;6;;2;;;6;;2;2;;2;;1;11;3;05;1115.1621811
6,000,794;1;4;1;80;05;1;;;;1;2;;2;;;2;;2;2;;2;;1;11;3;05;1115.1621811
6,000,796;1;2;1;80;05;1;2;;908,526;1;7;;2;;;9;;2;2;;2;;1;11;4;05;1484.738902
6,000,800;1;3;1;80;05;1;;;;1;2;;2;;;2;;2;2;;2;;1;11;1.2;05;1536.5029798
6,000,800;1;4;1;80;05;1;;;;1;8;;2;;;9;;2;2;;2;;1;11;3;05;1536.5029798
6,000,800;1;7;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;11;;05;1536.5029798
6,000,801;1;2;1;80;05;1;;;;1;8;;2;;;2;;1;2;;2;;1;11;3;05;1130.1279916
6,000,802;1;2;1;80;05;1;;;;1;6;;2;;;2;;2;2;;2;;1;11;1.1;05;1088.6402625
6,000,803;1;1;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;05;1130.6677527
6,000,804;1;2;1;80;05;1;1;48;908,526;1;1;;1;;2;9;;2;1;2;2;;1;11;4;05;1121.8404423
6,000,805;1;2;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1138.3350993
6,000,805;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1138.3350993
6,000,807;1;1;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;05;1121.8404423
6,000,808;1;2;1;80;05;1;;;;1;1;;2;;;9;;1;2;;2;;1;11;2;05;1477.2590895
6,000,808;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1477.2590895
6,000,809;1;2;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1073.2709003
6,000,809;1;3;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;05;1073.2709003
6,000,810;1;2;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1081.5584497
6,000,811;1;1;1;80;05;1;;;;1;4;;2;;;4;;2;2;;2;;1;11;3;05;1071.6002924
6,000,811;1;2;1;80;05;1;;;;1;4;;2;;;4;;2;2;;2;;1;11;3;05;1071.6002924
6,000,813;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1066.1890875
6,000,813;1;4;1;80;05;1;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;05;1066.1890875
6,000,814;1;2;1;80;05;1;2;;908,526;1;4;;2;;;4;;2;2;;2;;1;11;4;05;1129.3258068
6,000,816;1;1;1;80;05;1;;;;1;4;;2;;;4;;2;2;;2;;1;11;3;05;1079.8074
6,000,816;1;2;1;80;05;1;;;;1;9;POR ENFERMEDAD DEL ESPOSO;2;;;11;;3;3;;2;;1;11;4;05;1079.8074
6,000,818;1;1;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;05;1073.2709003
6,000,818;1;3;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;11;;05;1073.2709003
6,000,820;1;1;1;80;05;1;;;;1;7;;2;;;3;;2;2;;2;;1;11;4;05;1172.5590335
6,000,820;1;2;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1172.5590335
6,000,821;1;1;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;05;1113.0131318
6,000,822;1;1;1;80;05;1;;;;1;5;;2;;;10;;3;3;;2;;1;11;4;05;1012.532832
6,000,822;1;3;1;80;05;1;;;;1;4;;2;;;4;;2;2;;2;;1;11;4;05;1012.532832
6,000,823;1;1;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;4;05;996.1452673
6,000,825;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;988.81236826
6,000,825;1;4;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;988.81236826
6,000,827;1;5;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;11;;05;1004.7559266
6,000,828;1;2;1;80;05;1;;;;1;3;;2;;;9;;2;2;;2;;1;11;3;05;1187.847954
6,000,829;1;4;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;11;;05;1057.361777
6,000,829;1;5;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1057.361777
6,000,831;1;1;1;80;05;1;;;;1;1;;1;;2;8;;2;2;;2;;1;11;2;05;1130.6677527
6,000,832;1;1;1;80;05;1;;;;1;8;;2;;;11;;2;2;;2;;1;11;4;05;1130.6677527
6,000,836;1;2;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1938.3817073
6,000,839;1;1;1;80;05;1;;;;1;7;;2;;;10;;3;3;;2;;1;11;4;05;1064.4435899
6,000,839;1;4;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1064.4435899
6,000,840;1;1;1;80;05;1;;;;1;5;;2;;;11;;3;3;;2;;1;11;4;05;1053.9456714
6,000,840;1;2;1;80;05;1;;;;1;3;;2;;;4;;2;2;;2;;1;11;4;05;1053.9456714
6,000,841;1;3;1;80;05;1;;;;2;;;;2;;;.;2;2;;2;;1;11;;05;1173.6843283
6,000,841;1;4;1;80;05;1;;;;2;;;;2;;;.;;;;2;;1;11;;05;1173.6843283
6,000,844;1;2;1;80;05;1;;;;2;;;;1;4;9;;2;2;;2;;1;11;;05;1052.6037254
6,000,845;1;2;1;80;05;1;;;;1;4;;2;;;8;;2;2;;2;;1;11;4;05;1121.8404423
